gene_id	symbol	product	biotype	chrom	start	end	n_go	tier	n_lines_refined	lines_refined	reciprocal_pav	ecotype_only_corroborated	cnv	dmr	ref_divergence	reciprocal_present_in	ecotype_only_tier	ecotype_only_side	copies_lean	copies_siscowet	sv	ref_pav	n_lines_23_6	cluster_rep	cluster_size	caution	phase18_convergent	phase18_rank_score
gene-LOC120032709	LOC120032709	zona pellucida sperm-binding protein 3-like	protein_coding	NC_052345.1	14090956	14096344	5	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032709	1		0	
gene-LOC120032716	LOC120032716	tensin-4-like	protein_coding	NC_052345.1	14490727	14492096	0	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032716	1		0	
gene-LOC120032721	LOC120032721	protein AF-17-like	protein_coding	NC_052345.1	14738641	14759820	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032721	1		0	
gene-LOC120032722	LOC120032722	protein AF-17-like	protein_coding	NC_052345.1	14760010	14762471	0	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032722	1		0	
gene-LOC120032723	LOC120032723	transcription factor Sp6-like	protein_coding	NC_052345.1	14809939	14810856	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032723	1		0	
gene-LOC120032724	LOC120032724	gamma-crystallin M2-like	protein_coding	NC_052345.1	14827027	14827962	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032724	1		0	
gene-LOC120032764	LOC120032764	potassium voltage-gated channel subfamily H member 1-like	protein_coding	NC_052345.1	22344786	22393701	4	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120032764	1		0	
gene-LOC120032768	LOC120032768	apoptosis-stimulating of p53 protein 2-like	protein_coding	NC_052345.1	23249175	23270031	4	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120032768	1		0	
gene-LOC120032779	LOC120032779	ferritin, middle subunit-like	protein_coding	NC_052309.1	55992810	55994680	6	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120032769	4		0	
gene-LOC120032786	LOC120032786	high choriolytic enzyme 1-like	protein_coding	NC_052345.1	6005019	6005828	3	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	lean	2	1	0	0	1	gene-LOC120032786	1		0	
gene-LOC120032794	LOC120032794	hydrolethalus syndrome protein 1 homolog	protein_coding	NC_052345.1	14122653	14129871	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032794	1		0	
gene-LOC120032797	LOC120032797	SERTA domain-containing protein 2-like	protein_coding	NC_052345.1	18070780	18081043	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120032797	1		0	
gene-LOC120032798	LOC120032798	serine/arginine-rich splicing factor 7-like	protein_coding	NC_052345.1	22852387	22865661	4	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120032798	1		0	
gene-LOC120032805	LOC120032805	polycomb complex protein BMI-1-like	protein_coding	NC_052345.1	14779444	14785068	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032805	1		0	
gene-LOC120032819	LOC120032819	DNA-directed RNA polymerase III subunit RPC6	protein_coding	NC_052345.1	23300882	23309706	2	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120032819	1		0	
gene-LOC120032822	LOC120032822	ectonucleoside triphosphate diphosphohydrolase 7-like	protein_coding	NC_052345.1	3122367	3137947	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032822	1		0	
gene-LOC120032824	LOC120032824	aspartate aminotransferase, cytoplasmic-like	protein_coding	NC_052345.1	3027466	3038925	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032824	1		0	
gene-LOC120032827	LOC120032827	mitoferrin-2-like	protein_coding	NC_052345.1	2955976	3207154	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	1	3	gene-LOC120032827	2		0	0
gene-LOC120032835	LOC120032835	protein DPCD-like	protein_coding	NC_052345.1	8250964	8253230	0	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032835	1		0	
gene-LOC120032839	LOC120032839	F-box only protein 48-like	protein_coding	NC_052345.1	18268515	18270084	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120032839	1		0	
gene-LOC120032847	LOC120032847	serine/threonine-protein kinase TAO2-like	protein_coding	NC_052309.1	56205099	56242221	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032847	2		0	
gene-LOC120032855	LOC120032855	beta-1,3-galactosyltransferase 2-like	protein_coding	NC_052345.1	4274224	4277399	3	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	3	0	0	1	gene-LOC120032466	2		0	
gene-LOC120032856	LOC120032856	nuclear factor 1-like	protein_coding	NC_052345.1	6170303	6230266	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032856	1		0	
gene-LOC120032866	LOC120032866	insulin-like growth factor-binding protein 4	protein_coding	NC_052345.1	14699641	14716028	5	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032866	1		0	
gene-LOC120032870	LOC120032870	metal transporter CNNM2-like	protein_coding	NC_052345.1	8295257	8365874	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032870	1		0	
gene-LOC120032876	LOC120032876	suppressor of cytokine signaling 7-like	protein_coding	NC_052345.1	14222119	14229176	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032876	1		0	
gene-LOC120032883	LOC120032883	netrin-1	protein_coding	NC_052345.1	12269716	12356609	1	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032883	1		0	
gene-LOC120032885	LOC120032885	vitamin D(3) 25-hydroxylase-like	protein_coding	NC_052345.1	18477874	18483609	7	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120032885	1		0	
gene-LOC120032886	LOC120032886	secernin-2-like	protein_coding	NC_052345.1	14829538	14835867	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032886	1		0	
gene-LOC120032888	LOC120032888	mitochondrial import receptor subunit TOM20 homolog	protein_coding	NC_052345.1	18641403	18647064	7	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032888	1		0	
gene-LOC120032889	LOC120032889	protein Hook homolog 2-like	protein_coding	NC_052345.1	6815538	6816658	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032889	1		0	
gene-LOC120032897	LOC120032897	ras-related protein ORAB-1-like	protein_coding	NC_052345.1	18090675	18093550	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120032897	1		0	
gene-LOC120032906	LOC120032906	protein phosphatase 1 regulatory subunit 27-like	protein_coding	NC_052345.1	15048271	15050535	1	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032941	2		0	
gene-LOC120032907	LOC120032907	pre-mRNA-splicing factor CWC25 homolog	protein_coding	NC_052345.1	14799419	14803537	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032907	1		0	
gene-LOC120032913	LOC120032913	sprouty-related, EVH1 domain-containing protein 2-like	protein_coding	NC_052345.1	18132358	18160431	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120032913	1		0	
gene-LOC120032915	LOC120032915	coiled-coil domain-containing protein 130 homolog	protein_coding	NC_052345.1	4832470	4837735	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032915	1		0	
gene-LOC120032924	LOC120032924	fibroblast growth factor 8b-like	protein_coding	NC_052345.1	8243327	8248497	15	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032924	1		0	
gene-LOC120032926	LOC120032926	transmembrane protease serine 6-like	protein_coding	NC_052345.1	3511233	3529201	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120032926	1		0	
gene-LOC120032927	LOC120032927	transmembrane protease serine 6-like	protein_coding	NC_052345.1	3593533	3612388	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032927	1		0	
gene-LOC120032932	LOC120032932	REST corepressor 3-like	protein_coding	NC_052345.1	22323516	22342232	6	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120032932	1		0	
gene-LOC120032941	LOC120032941	protein phosphatase 1 regulatory subunit 12C-like	protein_coding	NC_052345.1	15003752	15015907	5	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032941	2		0	
gene-LOC120032946	LOC120032946	ras-related protein Rab-40C-like	protein_coding	NC_052345.1	8088064	8096241	7	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032946	1		0	
gene-LOC120032951	LOC120032951	cell division control protein 6 homolog	protein_coding	NC_052345.1	14299424	14306972	7	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032951	1		0	
gene-LOC120032954	LOC120032954	group XIIB secretory phospholipase A2-like protein	protein_coding	NC_052345.1	14886406	14889510	8	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032954	1		0	
gene-LOC120032973	LOC120032973	integrin alpha-X-like	protein_coding	NC_052345.1	14901679	14933340	7	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032973	1		0	
gene-LOC120032974	LOC120032974	phosphoinositide 3-kinase regulatory subunit 5-like	protein_coding	NC_052345.1	12238445	12263861	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032684	2		0	
gene-LOC120032977	LOC120032977	homeobox protein MSH-C-like	protein_coding	NC_052345.1	11782594	11785023	5	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032977	1		0	
gene-LOC120032978	LOC120032978	nidogen-1-like	protein_coding	NC_052345.1	18491731	18561273	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032978	1		0	
gene-LOC120032980	LOC120032980	C-C chemokine receptor type 7-like	protein_coding	NC_052345.1	14674720	14679382	8	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032980	1		0	
gene-LOC120032985	LOC120032985	cysteine-rich protein 2-binding protein-like	protein_coding	NC_052345.1	23318947	23326495	1	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120032985	1		0	
gene-LOC120032991	LOC120032991	transcription factor Sp2-like	protein_coding	NC_052345.1	14204365	14218216	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032991	1		0	
gene-LOC120032996	LOC120032996	calcineurin subunit B type 1	protein_coding	NC_052345.1	18247849	18262909	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120032996	1		0	
gene-LOC120032998	LOC120032998	rab GTPase-binding effector protein 2-like	protein_coding	NC_052309.1	56654280	56665204	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120032998	1		0	
gene-LOC120033012	LOC120033012	arginine-hydroxylase NDUFAF5, mitochondrial-like	protein_coding	NC_052345.1	18369709	18380965	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120033012	1		0	
gene-LOC120033013	LOC120033013	interferon gamma receptor 1-like	protein_coding	NC_052345.1	13899597	13909033	1	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			0	1	2	gene-LOC120033013	1		0	0
gene-LOC120033014	LOC120033014	homeobox protein Meis1	protein_coding	NC_052345.1	18183757	18220373	10	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120033014	1		0	
gene-LOC120033023	LOC120033023	coiled-coil domain-containing protein 85A-like	protein_coding	NC_052345.1	8889142	8892102	0	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033023	1		0	
gene-LOC120033033	LOC120033033	B-cell receptor CD22-like	protein_coding	NC_052345.1	2491017	2493636	0	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	3	0	0	1	gene-LOC120033033	1		0	
gene-LOC120033048	LOC120033048	GTPase IMAP family member 7	protein_coding	NC_052345.1	4986443	4990703	1	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120032470	2		0	
gene-LOC120033051	LOC120033051	TNF receptor-associated factor 5-like	protein_coding	NC_052345.1	22311981	22323077	10	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120033051	1		0	
gene-LOC120033055	LOC120033055	transmembrane channel-like protein 5	protein_coding	NC_052345.1	8831697	8855501	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033055	1		0	
gene-LOC120033111	LOC120033111	SLIT and NTRK-like protein 6	protein_coding	NC_052346.1	10218077	10220656	5	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033111	1		0	
gene-LOC120033112	LOC120033112	transmembrane 9 superfamily member 2-like	protein_coding	NC_052346.1	19672801	19697558	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033137	2		0	
gene-LOC120033116	LOC120033116	nuclear receptor subfamily 4 group A member 2-like	protein_coding	NC_052346.1	18138579	18141346	10	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120033116	1		0	
gene-LOC120033137	LOC120033137	transmembrane 9 superfamily member 2-like	protein_coding	NC_052346.1	19622615	19658029	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120033137	2		0	
gene-LOC120033162	LOC120033162	protein phosphatase 1 regulatory subunit 1C-like	protein_coding	NC_052346.1	703251	733648	3	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120033162	1		0	
gene-LOC120033164	LOC120033164	integrin alpha-4-like	protein_coding	NC_052346.1	820493	841432	7	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120033570	2		0	
gene-LOC120033173	LOC120033173	neuropilin-2-like	protein_coding	NC_052346.1	3786533	3858655	6	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	1	3	gene-LOC120033173	1		0	1
gene-LOC120033176	LOC120033176	ras-associated and pleckstrin homology domains-containing protein 1-like	protein_coding	NC_052346.1	4020693	4104567	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033176	1		0	
gene-LOC120033184	LOC120033184	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4-like	protein_coding	NC_052346.1	6658401	6671357	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033184	1		0	
gene-LOC120033188	LOC120033188	serine/threonine-protein phosphatase 4 catalytic subunit B	protein_coding	NC_052309.1	57386789	57400903	5	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120033188	1		0	
gene-LOC120033198	LOC120033198	opsin-3-like	protein_coding	NC_052346.1	8647313	8664269	5	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120033198	1		0	
gene-LOC120033199	LOC120033199	beta-galactoside alpha-2,6-sialyltransferase 2-like	protein_coding	NC_052346.1	8666312	8676767	2	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120033199	1		0	
gene-LOC120033210	LOC120033210	SLIT and NTRK-like protein 5	protein_coding	NC_052346.1	10358216	10360759	5	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033210	1		0	
gene-LOC120033233	LOC120033233	SLIT and NTRK-like protein 3	protein_coding	NC_052346.1	12752693	12759460	6	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033233	1		0	
gene-LOC120033237	LOC120033237	pericentrin-like	protein_coding	NC_052346.1	13084482	13116570	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033237	1		0	
gene-LOC120033238	LOC120033238	otolith matrix protein 1-like	protein_coding	NC_052346.1	13415257	13421160	5	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033238	1		0	
gene-LOC120033247	LOC120033247	excitatory amino acid transporter 5-like	protein_coding	NC_052346.1	13955217	13993034	5	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120033247	1		0	
gene-LOC120033248	LOC120033248	serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha-like	protein_coding	NC_052346.1	14236699	14238420	0	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120033582	2		0	
gene-LOC120033262	LOC120033262	fibroblast growth factor 14-like	protein_coding	NC_052346.1	15846691	15866485	11	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	lean	2	1	0	0	1	gene-LOC120033262	1		0	
gene-LOC120033295	LOC120033295	low-density lipoprotein receptor-related protein 1B-like	protein_coding	NC_052346.1	5697478	5864938	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033295	1		0	
gene-LOC120033297	LOC120033297	eukaryotic translation initiation factor 5B-like	protein_coding	NC_052346.1	15087910	15107413	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033297	1		0	
gene-LOC120033304	LOC120033304	phospholipase D1-like	protein_coding	NC_052346.1	14011950	14034882	6	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033304	1		0	
gene-LOC120033335	LOC120033335	long-chain specific acyl-CoA dehydrogenase, mitochondrial-like	protein_coding	NC_052346.1	19483655	19490542	7	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120033335	1		0	
gene-LOC120033345	LOC120033345	vang-like protein 1	protein_coding	NC_052346.1	12338843	12404905	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120033345	1		0	
gene-LOC120033348	LOC120033348	male-specific lethal 3 homolog	protein_coding	NC_052346.1	11088880	11099530	8	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033348	1		0	
gene-LOC120033373	LOC120033373	kynureninase-like	protein_coding	NC_052346.1	5639582	5650341	6	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033373	1		0	
gene-LOC120033396	LOC120033396	inosine-uridine preferring nucleoside hydrolase-like	protein_coding	NC_052346.1	15144232	15149149	1	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033396	1		0	
gene-LOC120033397	LOC120033397	protein unc-50 homolog	protein_coding	NC_052346.1	15139945	15144324	1	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033397	1		0	
gene-LOC120033402	LOC120033402	lipoyltransferase 1, mitochondrial-like	protein_coding	NC_052346.1	15108609	15109915	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033402	1		0	
gene-LOC120033431	LOC120033431	rho guanine nucleotide exchange factor 7-like	protein_coding	NC_052346.1	15058827	15086861	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033431	1		0	
gene-LOC120033436	LOC120033436	aryl hydrocarbon receptor-like	protein_coding	NC_052346.1	6285783	6367457	6	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	1	3	gene-LOC120033754	2		0	0
gene-LOC120033438	LOC120033438	C-X-C chemokine receptor type 1-like	protein_coding	NC_052346.1	19147619	19153235	5	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120033438	1		0	
gene-LOC120033440	LOC120033440	rho GTPase-activating protein 6-like	protein_coding	NC_052346.1	10991304	11085665	1	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033440	1		0	
gene-LOC120033446	LOC120033446	E3 ubiquitin-protein ligase Midline-1-like	protein_coding	NC_052346.1	10884205	10909299	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033446	1		0	
gene-LOC120033450	LOC120033450	mid1-interacting protein 1-B-like	protein_coding	NC_052346.1	19028904	19030691	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033450	1		0	
gene-LOC120033453	LOC120033453	collagen alpha-1(XVIII) chain-like	protein_coding	NC_052346.1	15596690	15665759	0	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033453	1		0	
gene-LOC120033459	LOC120033459	prolactin receptor-like	protein_coding	NC_052346.1	18889943	18899779	4	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120033459	1		0	
gene-LOC120033462	LOC120033462	protein unc-80 homolog	protein_coding	NC_052346.1	19266006	19365455	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033462	1		0	
gene-LOC120033506	LOC120033506	testis-specific gene 10 protein-like	protein_coding	NC_052346.1	15111633	15119515	0	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033506	1		0	
gene-LOC120033514	LOC120033514	mitochondrial pyruvate carrier 2-like	protein_coding	NC_052346.1	17521396	17526523	3	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120033623	2		0	
gene-LOC120033520	LOC120033520	UDP-glucose:glycoprotein glucosyltransferase 1-like	protein_coding	NC_052346.1	13299746	13312778	5	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033520	1		0	
gene-LOC120033530	LOC120033530	transcription factor Sp3-like	protein_coding	NC_052346.1	13164394	13172254	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033530	1		0	
gene-LOC120033533	LOC120033533	sentrin-specific protease 2-like	protein_coding	NC_052346.1	13120439	13126847	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033533	1		0	
gene-LOC120033534	LOC120033534	inositol-3-phosphate synthase 1-A-like	protein_coding	NC_052346.1	12823235	12832515	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033534	1		0	
gene-LOC120033541	LOC120033541	activin receptor type-1-like	protein_coding	NC_052346.1	13429592	13437989	11	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033541	1		0	
gene-LOC120033543	LOC120033543	SH2 domain-containing adapter protein F-like	protein_coding	NC_052346.1	12938756	12943488	1	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033543	1		0	
gene-LOC120033544	LOC120033544	heparan-sulfate 6-O-sulfotransferase 1-A-like	protein_coding	NC_052346.1	13317147	13361497	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033544	1		0	
gene-LOC120033547	LOC120033547	obg-like ATPase 1	protein_coding	NC_052346.1	13172909	13183183	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033547	1		0	
gene-LOC120033549	LOC120033549	guanine nucleotide-binding protein subunit alpha-11-like	protein_coding	NC_052346.1	12858548	12891559	8	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033549	1		0	
gene-LOC120033550	LOC120033550	splicing factor YJU2-like	protein_coding	NC_052346.1	12947362	12952060	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033550	1		0	
gene-LOC120033551	LOC120033551	transformer-2 protein homolog beta-like	protein_coding	NC_052346.1	13143562	13151508	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033551	1		0	
gene-LOC120033554	LOC120033554	phospholipid phosphatase 2-like	protein_coding	NC_052346.1	12915470	12933242	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033554	1		0	
gene-LOC120033559	LOC120033559	programmed cell death protein 10-B-like	protein_coding	NC_052346.1	12797658	12807360	5	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120033559	1		0	
