set	chrom	start	end	family	n_study_genes	n_cluster_genes	example_product	genes
siscowet_only_corroborated	NC_052311.1	5964800	6024024	matrin	3	3	matrin-3-like	LOC120047881,LOC120047883,LOC120047884
siscowet_only_corroborated	NW_024061506.1	77413	98220	asteroid	3	3	protein asteroid homolog 1-like	LOC120042775,LOC120042776,LOC120042777
siscowet_only_corroborated	NW_024061007.1	198248	581376	tripartite	3	12	tripartite motif-containing protein 16-like	LOC120040993,LOC120041010,LOC120041019
siscowet_only_corroborated	NC_052343.1	27929084	27967419	homeobox	3	5	homeobox A2b	hoxa10b,hoxa11b,hoxa9b
siscowet_only_corroborated	NC_052314.1	54881164	54995680	ubiquitin	3	4	probable E3 ubiquitin-protein ligase HERC3	LOC120052204,LOC120052206,LOC120052854
siscowet_only_corroborated	NW_024061568.1	8	70892	zinc	3	5	zinc finger protein 664-like	LOC120043007,LOC120043010,LOC120043013
siscowet_only_corroborated	NC_052312.1	36549293	36707661	polypeptide	3	7	probable polypeptide N-acetylgalactosaminyltransferase 8	LOC120049098,LOC120049099,LOC120049100
siscowet_only_corroborated	NC_052309.1	80816112	80816668	small	3	3	small nucleolar RNA SNORD88	LOC120045256,LOC120045257,LOC120045258
siscowet_only_corroborated	NC_052345.1	1601388	1665094	loc	3	7	uncharacterized LOC120032995	LOC120032362,LOC120032994,LOC120032995
siscowet_only_corroborated	NW_024059456.1	385	35105	ribosomal	3	13	5S ribosomal RNA	LOC120039238,LOC120039244,LOC120039264
tierAB	NC_052308.1	33025163	33087353	spliceosomal	33	46	U4 spliceosomal RNA	LOC120028286,LOC120028289,LOC120028294,LOC120028297,LOC120028303,LOC120028312,LOC120028320,LOC120028441,LOC120028526,LOC120028552,LOC120028556,LOC120028563
tierAB	NC_052337.1	46178035	46315381	spliceosomal	28	83	U5 spliceosomal RNA	LOC120026514,LOC120026519,LOC120026531,LOC120026538,LOC120026539,LOC120026543,LOC120026544,LOC120026545,LOC120026549,LOC120026560,LOC120026561,LOC120026562
tierAB	NC_052311.1	29716908	30037076	protocadherin	27	46	protocadherin alpha-4-like	LOC120047055,LOC120047056,LOC120047057,LOC120047058,LOC120047059,LOC120047060,LOC120047061,LOC120047062,LOC120047067,LOC120047068,LOC120047069,LOC120047823
tierAB	NC_052348.1	7248779	8103329	zinc	20	25	zinc finger protein 19-like	LOC120034727,LOC120034728,LOC120034808,LOC120034822,LOC120034828,LOC120034830,LOC120034831,LOC120034836,LOC120034840,LOC120034842,LOC120034845,LOC120034848
tierAB	NC_052327.1	4015	131133	spliceosomal	16	36	U5 spliceosomal RNA	LOC120066818,LOC120066824,LOC120066825,LOC120066830,LOC120066834,LOC120066835,LOC120066841,LOC120066842,LOC120066843,LOC120066846,LOC120066849,LOC120066885
tierAB	NC_052335.1	26147236	26155916	small	12	36	small nucleolar RNA SNORD50	LOC120024630,LOC120024631,LOC120024632,LOC120024633,LOC120024634,LOC120024651,LOC120024652,LOC120024653,LOC120024654,LOC120024656,LOC120024667,LOC120024670
tierAB	NC_052308.1	72299678	72441127	histone	12	19	histone H2B	LOC120017851,LOC120017881,LOC120017900,LOC120017911,LOC120017932,LOC120017951,LOC120017972,LOC120017992,LOC120018007,LOC120018041,LOC120018058,LOC120018068
tierAB	NW_024058168.1	637	20029	small	11	20	small nucleolar RNA U3	LOC120036703,LOC120036704,LOC120036705,LOC120036706,LOC120036707,LOC120036709,LOC120036712,LOC120036713,LOC120036714,LOC120036716,LOC120036718
tierAB	NC_052314.1	2399403	2423268	small	11	18	small nucleolar RNA U3	LOC120053081,LOC120053086,LOC120053087,LOC120053088,LOC120053090,LOC120053092,LOC120053093,LOC120053099,LOC120053100,LOC120053101,LOC120053102
tierAB	NC_052319.1	22927602	23120998	gamma	11	18	gamma-crystallin M2-like	LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034,LOC120058036,LOC120058037
tierAB	NW_024057805.1	9773	83599	spliceosomal	10	10	U1 spliceosomal RNA	LOC120035853,LOC120035854,LOC120035855,LOC120035856,LOC120035857,LOC120035858,LOC120035859,LOC120035860,LOC120035861,LOC120035862
tierAB	NW_024057745.1	22793	87701	spliceosomal	9	15	U1 spliceosomal RNA	LOC120035548,LOC120035549,LOC120035580,LOC120035582,LOC120035583,LOC120035591,LOC120035592,LOC120035594,LOC120035595
tierAB	NC_052345.1	14405638	14654621	keratin	9	11	keratin, type I cytoskeletal 13-like	LOC120032397,LOC120032398,LOC120032614,LOC120032622,LOC120032718,LOC120032719,LOC120032919,LOC120032920,krt98
tierAB	NW_024058207.1	1536	62831	ribosomal	9	26	5S ribosomal RNA	LOC120036786,LOC120036789,LOC120036790,LOC120036791,LOC120036799,LOC120036800,LOC120036801,LOC120036805,LOC120036811
tierAB	NC_052308.1	42960918	43157673	loc	8	10	uncharacterized LOC120063518	LOC120063461,LOC120063466,LOC120063503,LOC120063518,LOC120063526,LOC120063541,LOC120063572,LOC120063595
tierAB	NC_052308.1	65159504	65440296	keratin	8	15	keratin, type I cytoskeletal 18-A-like	LOC120022811,LOC120022820,LOC120022826,LOC120022831,LOC120027508,LOC120027518,LOC120066191,LOC120066198
tierAB	NC_052312.1	20954301	21097607	leukotriene	7	9	leukotriene B4 receptor 1-like	LOC120049018,LOC120049274,LOC120049759,LOC120049761,LOC120049762,LOC120049763,LOC120049765
tierAB	NC_052328.1	1567170	1663506	loc	7	10	uncharacterized LOC120017450	LOC120017450,LOC120017871,LOC120017876,LOC120017877,LOC120017878,LOC120017989,LOC120017990
tierAB	NC_052308.1	43215320	43364997	loc	7	10	uncharacterized LOC120063534	LOC120063458,LOC120063473,LOC120063478,LOC120063490,LOC120063549,LOC120063557,LOC120063564
tierAB	NW_024061618.1	20152	68241	spliceosomal	7	9	U1 spliceosomal RNA	LOC120043196,LOC120043198,LOC120043200,LOC120043201,LOC120043202,LOC120043203,LOC120043205
tierAB	NW_024058286.1	142629	172621	spliceosomal	7	8	U1 spliceosomal RNA	LOC120037037,LOC120037038,LOC120037039,LOC120037041,LOC120037042,LOC120037043,LOC120037044
tierAB	NC_052332.1	142268	144191	small	6	6	small nucleolar RNA SNORD36	LOC120021916,LOC120021917,LOC120021920,LOC120021921,LOC120021948,LOC120021949
tierAB	NW_024057745.1	1055	63459	ribosomal	6	26	5S ribosomal RNA	LOC120035558,LOC120035561,LOC120035573,LOC120035574,LOC120035575,LOC120035576
tierAB	NC_052338.1	19960407	20156603	loc	6	9	uncharacterized LOC120027201	LOC120026910,LOC120026978,LOC120027050,LOC120027150,LOC120027201,LOC120027407
tierAB	NC_052313.1	57324016	57392977	gamma	6	11	gamma-crystallin S-1-like	LOC120050552,LOC120050554,LOC120050558,LOC120050857,LOC120050858,LOC120050859
tierAB	NC_052309.1	63585120	63890752	interferon	5	22	interferon alpha-1-like	LOC120044476,LOC120044479,LOC120044489,LOC120044490,LOC120044491
tierAB	NC_052326.1	37183416	37253971	green	5	5	green-sensitive opsin-like	LOC120065317,LOC120065318,LOC120065319,LOC120065320,LOC120065321
tierAB	NC_052322.1	2765268	2772096	ribosomal	5	5	5S ribosomal RNA	LOC120061724,LOC120061733,LOC120061737,LOC120061748,LOC120061753
tierAB	NC_052348.1	8225840	8504136	zinc	5	12	zinc finger protein 470-like	LOC120034804,LOC120034837,LOC120034841,LOC120034864,LOC120034868
tierAB	NC_052341.1	4409929	4615516	cystatin	5	10	cystatin-like	LOC120029562,LOC120029563,LOC120029928,LOC120029933,LOC120029934
tierAB	NC_052314.1	44024581	44139754	vitellogenin	5	8	vitellogenin	LOC120052139,LOC120052140,LOC120052141,LOC120052696,LOC120052697
tierAB	NW_024060776.1	345	20138	spliceosomal	5	9	U4 spliceosomal RNA	LOC120040753,LOC120040758,LOC120040765,LOC120040769,LOC120040770
tierAB	NW_024061248.1	94514	110035	spliceosomal	5	6	U1 spliceosomal RNA	LOC120041806,LOC120041811,LOC120041812,LOC120041813,LOC120041814
tierAB	NC_052348.1	20187668	20224456	zinc	5	5	zinc finger protein 629-like	LOC120034917,LOC120034918,LOC120034919,LOC120035037,LOC120035167
tierAB	NC_052348.1	13183667	13276702	ubiquitin	5	5	probable E3 ubiquitin-protein ligase HERC6	LOC120034746,LOC120034785,LOC120034786,LOC120034787,LOC120034990
tierAB	NC_052331.1	33568406	33571360	small	5	5	small nucleolar RNA SNORD2	LOC120020776,LOC120020777,LOC120020779,LOC120020780,LOC120020781
tierAB	NC_052325.1	28692901	28902451	guanylate	4	11	guanylate-binding protein 1-like	LOC120063787,LOC120064285,LOC120064291,LOC120064292
tierAB	NW_024058273.1	4572	36436	spliceosomal	4	6	U1 spliceosomal RNA	LOC120036972,LOC120036974,LOC120036975,LOC120036978
tierAB	NC_052317.1	8431813	8437062	small	4	5	small nucleolar RNA SNORA81	LOC120056336,LOC120056337,LOC120056338,LOC120056340
tierAB	NC_052311.1	60780425	60796795	zinc	4	4	zinc finger protein with KRAB and SCAN domains 8-like	LOC120048595,LOC120048599,LOC120048600,LOC120048602
tierAB	NC_052334.1	46670670	46703636	loc	4	4	uncharacterized LOC120023130	LOC120023130,LOC120023140,LOC120023594,LOC120023596
tierAB	NC_052329.1	27101621	27192545	olfactory	4	6	olfactory receptor 5F1-like	LOC120018585,LOC120018586,LOC120018587,LOC120018589
tierAB	NW_024058097.1	16660	247010	small	4	45	small nucleolar RNA SNORD29	LOC120036554,LOC120036564,LOC120036568,LOC120036574
tierAB	NW_024061321.1	94232	126698	spliceosomal	4	6	U1 spliceosomal RNA	LOC120042086,LOC120042087,LOC120042088,LOC120042089
tierAB	NW_024061616.1	1210	106695	ribosomal	4	27	5S ribosomal RNA	LOC120043164,LOC120043165,LOC120043169,LOC120043172
tierAB	NW_024060452.1	381695	475923	gastrula	4	4	gastrula zinc finger protein XlCGF57.1-like	LOC120040407,LOC120040408,LOC120040410,LOC120040411
tierAB	NC_052309.1	59960265	60132136	ferritin	4	11	ferritin, middle subunit-like	LOC120033753,LOC120033771,LOC120033798,LOC120033830
tierAB	NC_052348.1	20036159	20054020	small	4	11	small nucleolar RNA U3	LOC120035196,LOC120035200,LOC120035205,LOC120035207
tierAB	NW_024060534.1	1238	23342	ribosomal	4	10	5S ribosomal RNA	LOC120040483,LOC120040484,LOC120040485,LOC120040486
tierAB	NC_052311.1	49637507	49772932	transmembrane	4	8	transmembrane protein 176A-like	LOC120047612,LOC120047614,LOC120047616,LOC120047619
tierAB	NC_052311.1	65991514	66052241	apolipoprotein	4	5	apolipoprotein C-II	LOC120048760,LOC120048761,LOC120048762,apoc2
tierAB	NC_052309.1	71559357	71662229	hemoglobin	4	17	hemoglobin subunit beta-1-like	LOC120036973,LOC120036990,LOC120037013,LOC120044016
tierAB	NW_024058897.1	207423	350485	gtpase	4	9	GTPase IMAP family member 7-like	LOC120038185,LOC120038186,LOC120038201,LOC120038204
tierAB	NW_024059224.1	23422	30298	spliceosomal	4	4	U1 spliceosomal RNA	LOC120038793,LOC120038794,LOC120038795,LOC120038796
tierAB	NC_052329.1	27045601	27048663	small	4	4	small nucleolar RNA SNORD15	LOC120018979,LOC120018980,LOC120018994,LOC120018995
tierAB	NC_052348.1	20178665	20278213	loc	4	4	uncharacterized LOC120035068	LOC120034905,LOC120035034,LOC120035035,LOC120035068
tierAB	NC_052309.1	50313634	50343520	nedd	4	4	NEDD4 family-interacting protein 1-like	LOC120032191,LOC120032211,LOC120044396,LOC120044397
tierAB	NC_052309.1	95383550	95701167	zinc	3	14	zinc finger protein 2 homolog	LOC120043713,LOC120043714,LOC120044738
tierAB	NC_052314.1	52767735	52862277	loc	3	6	uncharacterized LOC120052184	LOC120052801,LOC120052802,LOC120052804
tierAB	NC_052311.1	62174369	62239137	carcinoembryonic	3	3	carcinoembryonic antigen-related cell adhesion molecule 5-li	LOC120047235,LOC120047238,LOC120047239
tierAB	NC_052348.1	13023993	13113713	loc	3	5	uncharacterized LOC120034660	LOC120034744,LOC120034745,LOC120035081
tierAB	NC_052313.1	18531061	18642478	myosin	3	3	myosin-7-like	LOC120051056,LOC120051059,LOC120051060
tierAB	NC_052314.1	43259447	43316500	loc	3	3	uncharacterized LOC120052017	LOC120051924,LOC120051925,LOC120052017
tierAB	NC_052312.1	36469115	36491657	fibroblast	3	3	fibroblast growth factor 23-like	LOC120049094,LOC120049095,LOC120049360
tierAB	NC_052314.1	22533780	22560496	small	3	10	small nucleolar RNA SNORD47	LOC120053117,LOC120053132,LOC120053136
tierAB	NC_052314.1	11367305	11417908	troponin	3	5	troponin I, fast skeletal muscle-like	LOC120051804,LOC120052388,LOC120052389
tierAB	NW_024058040.1	18846	59374	loc	3	4	uncharacterized LOC120036430	LOC120036429,LOC120036430,LOC120036433
tierAB	NC_052348.1	20280555	20422830	zinc	3	6	zinc finger protein 394-like	LOC120034911,LOC120035003,LOC120035162
tierAB	NC_052312.1	20480144	20725917	natural	3	7	natural killer cell receptor 2B4-like	LOC120049003,LOC120049005,LOC120049007
tierAB	NC_052340.1	16014181	16337476	olfactory	3	15	olfactory receptor 8I2-like	LOC120029219,LOC120029226,LOC120029229
tierAB	NC_052326.1	53368425	53574160	rhamnose	3	12	L-rhamnose-binding lectin CSL3-like	LOC120064667,LOC120064867,LOC120064916
tierAB	NW_024060364.1	81680	222269	rhamnose	3	11	L-rhamnose-binding lectin CSL3	LOC120040328,LOC120040334,LOC120040337
tierAB	NW_024058959.1	2607	7802	ribosomal	3	3	5S ribosomal RNA	LOC120038357,LOC120038363,LOC120038364
tierAB	NC_052319.1	16587866	16634268	adp	3	3	protein ADP-ribosylarginine hydrolase-like	LOC120058290,LOC120058291,LOC120058293
tierAB	NC_052347.1	4710274	4711855	small	3	3	small nucleolar RNA SNORA79	LOC120034625,LOC120034626,LOC120034627
tierAB	NC_052322.1	2766054	2774625	spliceosomal	3	6	U1 spliceosomal RNA	LOC120061735,LOC120061739,LOC120061740
tierAB	NC_052311.1	24163062	24236220	zinc	3	3	zinc finger protein 232-like	LOC120047439,LOC120048083,LOC120048084
tierAB	NC_052311.1	66175776	66231231	trypsin	3	4	trypsin-like	LOC120047283,LOC120047285,LOC120048768
tierAB	NC_052338.1	16574118	16575798	small	3	3	small nucleolar RNA SNORA16B/SNORA16A family	LOC120027556,LOC120027560,LOC120027561
tierAB	NC_052348.1	15424617	15502749	acidic	3	3	acidic leucine-rich nuclear phosphoprotein 32 family member 	LOC120034653,LOC120034654,LOC120034657
tierAB	NW_024061727.1	19493	95584	loc	3	5	uncharacterized LOC120043622	LOC120043617,LOC120043620,LOC120043622
tierAB	NW_024060903.1	1369	18552	ribosomal	3	7	5S ribosomal RNA	LOC120040902,LOC120040913,LOC120040915
tierAB	NC_052343.1	27414187	27490994	gasdermin	3	3	gasdermin-E-like	LOC120031013,LOC120031014,LOC120031086
tierAB	NC_052311.1	53692722	53697729	ribosomal	3	4	5S ribosomal RNA	LOC120048908,LOC120048919,LOC120048932
tierAB	NC_052346.1	18807474	18822085	loc	3	3	uncharacterized LOC120033141	LOC120033141,LOC120033423,LOC120033694
tierAB	NC_052309.1	85692133	86010322	metalloproteinase	3	10	metalloproteinase inhibitor 2-like	LOC120041601,LOC120041610,LOC120041632
tierAB	NC_052311.1	5964800	6024024	matrin	3	3	matrin-3-like	LOC120047881,LOC120047883,LOC120047884
tierAB	NW_024061248.1	20521	37352	spliceosomal	3	3	U1 spliceosomal RNA	LOC120041807,LOC120041809,LOC120041810
tierAB	NC_052336.1	464160	537975	motif	3	5	C-C motif chemokine 7-like	LOC120024745,LOC120025019,LOC120025372
tierAB	NC_052308.1	79157528	79252295	zinc	3	5	zinc finger protein 664-like	LOC120019452,LOC120019465,LOC120019477
tierAB	NC_052307.1	79245357	79300967	guanylyl	3	3	guanylyl cyclase-activating protein 2-like	LOC120053171,LOC120053182,LOC120057055
tierAB	NC_052309.1	98033163	98096562	loc	3	3	uncharacterized LOC120043845	LOC120043844,LOC120043845,LOC120044731
tierAB	NW_024059453.1	126927	247149	loc	3	6	uncharacterized LOC120039232	LOC120039219,LOC120039232,LOC120039233
tierAB	NC_052312.1	36549293	36707661	polypeptide	3	7	probable polypeptide N-acetylgalactosaminyltransferase 8	LOC120049098,LOC120049099,LOC120049100
tierAB	NC_052309.1	80816112	80816668	small	3	3	small nucleolar RNA SNORD88	LOC120045256,LOC120045257,LOC120045258
tierAB	NC_052345.1	719556	913933	loc	3	21	uncharacterized LOC120032508	LOC120032441,LOC120032442,LOC120032584
tierAB	NC_052315.1	10536000	10585459	cytochrome	3	3	cytochrome b-c1 complex subunit 6, mitochondrial-like	LOC120053661,LOC120053662,LOC120053663
tierAB	NC_052309.1	94093690	94129425	ribosomal	3	6	5S ribosomal RNA	LOC120045244,LOC120045260,LOC120045262
tierAB	NW_024057705.1	3356	48226	olfactory	3	3	olfactory receptor 52E4-like	LOC120035319,LOC120035322,LOC120035324
tierAB	NC_052317.1	34366577	34474522	loc	3	6	uncharacterized LOC120055371	LOC120055371,LOC120055374,LOC120055377
