gene_id	symbol	product	copies_lean	copies_siscowet	n_go
gene-LOC120037536	LOC120037536	small nucleolar RNA SNORD22	1	1	0
gene-LOC120037537	LOC120037537	protein TANC2-like	1	1	3
gene-LOC120037538	LOC120037538	small nucleolar RNA SNORD22	1	1	0
gene-LOC120037539	LOC120037539	small nucleolar RNA SNORD30	1	1	0
gene-LOC120037540	LOC120037540	small nucleolar RNA SNORD31	1	1	0
gene-LOC120037543	LOC120037543	translin-associated protein X-like	1	1	5
gene-LOC120037544	LOC120037544	pyruvate dehydrogenase E1 component subunit beta, mitochondrial-like	1	1	3
gene-LOC120037545	LOC120037545	BTB/POZ domain-containing protein KCTD6-like	1	1	1
gene-LOC120037546	LOC120037546	uncharacterized LOC120037546	1	1	0
gene-LOC120037547	LOC120037547	protein ATP6V1FNB	1	1	0
gene-LOC120037548	LOC120037548	cytochrome b561-like	1	1	2
gene-LOC120037573	LOC120037573	histone deacetylase 5-like	1	1	5
gene-LOC120037586	LOC120037586	uncharacterized LOC120037586	1	1	4
gene-LOC120037587	LOC120037587	protein LSM12 homolog A	1	1	1
gene-LOC120037588	LOC120037588	charged multivesicular body protein 2b-like	1	1	5
gene-LOC120037591	LOC120037591	POU domain, class 4, transcription factor 1-like	1	1	3
gene-LOC120037593	LOC120037593	5.8S ribosomal RNA	1	1	0
gene-LOC120037596	LOC120037596	small G protein signaling modulator 2-like	1	1	1
gene-LOC120037597	LOC120037597	trichohyalin-like	1	1	1
gene-LOC120037598	LOC120037598	myocardin-related transcription factor B-like	1	1	1
gene-LOC120037600	LOC120037600	GTPase IMAP family member 4-like	1	1	1
gene-LOC120037605	LOC120037605	C-X-C motif chemokine 13-like	1	2	9
gene-LOC120037606	LOC120037606	arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1-like	1	1	2
gene-LOC120037608	LOC120037608	brother of CDO-like	1	1	0
gene-LOC120037609	LOC120037609	uncharacterized LOC120037609	11	11	0
gene-LOC120037609_1			1	1	0
gene-LOC120037609_10			1	1	0
gene-LOC120037609_2			1	1	0
gene-LOC120037609_3			1	1	0
gene-LOC120037609_4			1	1	0
gene-LOC120037609_5			1	1	0
gene-LOC120037609_6			1	1	0
gene-LOC120037609_7			1	1	0
gene-LOC120037609_8			1	1	0
gene-LOC120037609_9			1	1	0
gene-LOC120037610	LOC120037610	amyloid-beta A4 precursor protein-binding family A member 1-like	1	1	5
gene-LOC120037613	LOC120037613	uncharacterized LOC120037613	1	2	0
gene-LOC120037614	LOC120037614	probable E3 ubiquitin-protein ligase HERC3	1	1	0
gene-LOC120037615	LOC120037615	probable E3 ubiquitin-protein ligase HERC4	1	2	2
gene-LOC120037616	LOC120037616	FYVE and coiled-coil domain-containing protein 1-like	1	1	5
gene-LOC120037619	LOC120037619	PEST proteolytic signal-containing nuclear protein-like	1	1	3
gene-LOC120037621	LOC120037621	short coiled-coil protein B	1	1	1
gene-LOC120037631	LOC120037631	ubiquitin carboxyl-terminal hydrolase isozyme L1-like	1	1	4
gene-LOC120037633	LOC120037633	LHFPL tetraspan subfamily member 6 protein-like	1	2	1
gene-LOC120037634	LOC120037634	armadillo repeat-containing X-linked protein 4-like	1	1	2
gene-LOC120037635	LOC120037635	methylcytosine dioxygenase tet3-like	1	1	6
gene-LOC120037636	LOC120037636	ribosomal protein S6 kinase alpha-6-like	1	1	4
gene-LOC120037638	LOC120037638	uncharacterized LOC120037638	1	1	0
gene-LOC120037639	LOC120037639	fibrous sheath CABYR-binding protein-like	1	1	0
gene-LOC120037640	LOC120037640	selenide, water dikinase 3-like	1	1	4
gene-LOC120037641	LOC120037641	uncharacterized LOC120037641	11	5	0
gene-LOC120037641_1			1	1	0
gene-LOC120037641_2			1	1	0
gene-LOC120037641_3			1	1	0
gene-LOC120037641_4			1	1	0
gene-LOC120037642	LOC120037642	NLR family CARD domain-containing protein 3-like	1	1	0
gene-LOC120037643	LOC120037643	NLR family CARD domain-containing protein 3-like	2	1	0
gene-LOC120037644	LOC120037644	NLR family CARD domain-containing protein 3-like	31	20	1
gene-LOC120037644_1			1	1	0
gene-LOC120037644_10			1	1	0
gene-LOC120037644_11			1	1	0
gene-LOC120037644_12			1	1	0
gene-LOC120037644_13			1	1	0
gene-LOC120037644_14			1	1	0
gene-LOC120037644_15			1	1	0
gene-LOC120037644_16			1	1	0
gene-LOC120037644_17			1	1	0
gene-LOC120037644_18			1	1	0
gene-LOC120037644_19			1	1	0
gene-LOC120037644_2			1	1	0
gene-LOC120037644_3			1	1	0
gene-LOC120037644_4			1	1	0
gene-LOC120037644_5			1	1	0
gene-LOC120037644_6			1	1	0
gene-LOC120037644_7			1	1	0
gene-LOC120037644_8			1	1	0
gene-LOC120037644_9			1	1	0
gene-LOC120037645	LOC120037645	uncharacterized LOC120037645	1	1	0
gene-LOC120037646	LOC120037646	uncharacterized LOC120037646	1	1	0
gene-LOC120037647	LOC120037647	uncharacterized LOC120037647	1	1	0
gene-LOC120037648	LOC120037648	NLR family CARD domain-containing protein 3-like	1	2	1
gene-LOC120037650	LOC120037650	NACHT, LRR and PYD domains-containing protein 3-like	1	1	1
gene-LOC120037651	LOC120037651	uncharacterized LOC120037651	5	5	0
gene-LOC120037651_1			1	1	0
gene-LOC120037651_2			1	1	0
gene-LOC120037651_3			1	1	0
gene-LOC120037651_4			1	1	0
gene-LOC120037652	LOC120037652	stonustoxin subunit beta-like	1	1	1
gene-LOC120037654	LOC120037654	zinc finger CCHC domain-containing protein 24-like	1	1	0
gene-LOC120037656	LOC120037656	zinc finger MIZ domain-containing protein 1-like	1	1	5
gene-LOC120037659	LOC120037659	adhesive plaque matrix protein-like	1	1	0
gene-LOC120037662	LOC120037662	uncharacterized LOC120037662	2	2	0
gene-LOC120037662_1			1	1	0
gene-LOC120037663	LOC120037663	attractin-like	1	1	2
gene-LOC120037665	LOC120037665	CCAAT/enhancer-binding protein alpha-like	1	1	5
gene-LOC120037667	LOC120037667	phosphoribosyl pyrophosphate synthase-associated protein 2	1	1	6
gene-LOC120037668	LOC120037668	voltage-dependent T-type calcium channel subunit alpha-1I-like	1	1	12
gene-LOC120037669	LOC120037669	GTP-binding protein 1-like	1	1	4
gene-LOC120037671	LOC120037671	arf-GAP with dual PH domain-containing protein 1-like	1	1	5
gene-LOC120037675	LOC120037675	microtubule-associated tumor suppressor 1 homolog A-like	1	1	3
gene-LOC120037678	LOC120037678	A-kinase anchor protein 13-like	1	1	6
gene-LOC120037679	LOC120037679	kinesin-like protein KIF3A	1	1	0
gene-LOC120037685	LOC120037685	5S ribosomal RNA	1	1	0
gene-LOC120037694	LOC120037694	5S ribosomal RNA	2	3	0
gene-LOC120037694_1			1	1	0
gene-LOC120037701	LOC120037701	V-type proton ATPase subunit S1-like	1	1	2
gene-LOC120037702	LOC120037702	deoxyribonuclease gamma-like	1	1	3
gene-LOC120037703	LOC120037703	small nucleolar RNA SNORA70	1	1	0
gene-LOC120037704	LOC120037704	small nucleolar RNA SNORA70	1	1	0
gene-LOC120037706	LOC120037706	protocadherin Fat 3-like	1	1	3
gene-LOC120037711	LOC120037711	uncharacterized LOC120037711	1	1	1
gene-LOC120037712	LOC120037712	zona pellucida sperm-binding protein 4-like	3	6	0
gene-LOC120037712_1			1	1	0
gene-LOC120037712_2			1	1	0
gene-LOC120037713	LOC120037713	U1 spliceosomal RNA	1	3	0
gene-LOC120037717	LOC120037717	iroquois-class homeodomain protein irx-4-like	1	1	6
gene-LOC120037719	LOC120037719	uncharacterized LOC120037719	1	1	0
gene-LOC120037720	LOC120037720	uncharacterized LOC120037720	1	1	0
gene-LOC120037721	LOC120037721	uncharacterized LOC120037721	1	1	0
gene-LOC120037724	LOC120037724	uncharacterized LOC120037724	1	1	0
gene-LOC120037726	LOC120037726	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase-like	1	1	5
gene-LOC120037727	LOC120037727	E3 ubiquitin-protein ligase arih1	1	1	9
gene-LOC120037728	LOC120037728	transcription factor SOX-4-like	1	1	5
gene-LOC120037729	LOC120037729	zinc finger protein 2 homolog	1	1	2
gene-LOC120037730	LOC120037730	zinc finger protein 391-like	1	1	3
gene-LOC120037731	LOC120037731	zinc finger protein 420-like	1	1	3
gene-LOC120037734	LOC120037734	5S ribosomal RNA	1	1	0
gene-LOC120037739	LOC120037739	hexokinase-2-like	1	1	10
gene-LOC120037744	LOC120037744	U1 spliceosomal RNA	15	1	0
gene-LOC120037750	LOC120037750	U1 spliceosomal RNA	5	6	0
gene-LOC120037750_1			1	1	0
gene-LOC120037750_2			1	1	0
gene-LOC120037750_3			1	1	0
gene-LOC120037750_4			1	1	0
gene-LOC120037756	LOC120037756	5S ribosomal RNA	1	1	0
gene-LOC120037757	LOC120037757	extensin-like	1	1	0
gene-LOC120037758	LOC120037758	dystroglycan-like	1	1	11
gene-LOC120037759	LOC120037759	uncharacterized LOC120037759	1	1	0
gene-LOC120037760	LOC120037760	RNA pseudouridylate synthase domain-containing protein 1-like	1	1	3
gene-LOC120037761	LOC120037761	bone morphogenetic protein receptor type-2-like	1	1	8
gene-LOC120037763	LOC120037763	G-protein coupled receptor 183-like	1	1	4
gene-LOC120037765	LOC120037765	poly(U)-specific endoribonuclease-C-like	1	1	1
gene-LOC120037766	LOC120037766	divergent protein kinase domain 2A	1	1	0
gene-LOC120037767	LOC120037767	peptidase inhibitor 15-A	1	1	1
gene-LOC120037770	LOC120037770	28S ribosomal RNA	1	1	0
gene-LOC120037773	LOC120037773	gamma-aminobutyric acid receptor subunit alpha-5-like	1	1	16
gene-LOC120037774	LOC120037774	gastrula zinc finger protein XlCGF7.1-like	1	1	3
gene-LOC120037779	LOC120037779	bri3 binding protein	1	2	1
gene-LOC120037782	LOC120037782	uncharacterized LOC120037782	5	8	0
gene-LOC120037782_1			1	1	0
gene-LOC120037782_2			1	1	0
gene-LOC120037782_3			1	1	0
gene-LOC120037782_4			1	1	0
gene-LOC120037788	LOC120037788	KN motif and ankyrin repeat domain-containing protein 4-like	1	1	4
gene-LOC120037789	LOC120037789	NACHT, LRR and PYD domains-containing protein 3-like	1	1	1
gene-LOC120037791	LOC120037791	U1 spliceosomal RNA	1	6	0
gene-LOC120037792	LOC120037792	elastin-like	1	1	0
gene-LOC120037795	LOC120037795	transmembrane protein 131-like	1	1	0
gene-LOC120037796	LOC120037796	low affinity immunoglobulin gamma Fc region receptor II-a-like	1	1	2
gene-LOC120037797	LOC120037797	Fc receptor-like protein 5	2	3	2
gene-LOC120037797_1			1	1	0
gene-LOC120037798	LOC120037798	uncharacterized LOC120037798	1	1	0
gene-LOC120037799	LOC120037799	E3 ubiquitin-protein ligase TRIM9-like	1	1	1
gene-LOC120037800	LOC120037800	microfibril-associated glycoprotein 4-like	1	1	3
gene-LOC120037812	LOC120037812	uncharacterized LOC120037812	2	3	0
gene-LOC120037812_1			1	1	0
gene-LOC120037813	LOC120037813	butyrophilin-like protein 10	1	1	7
gene-LOC120037814	LOC120037814	arginine and glutamate-rich protein 1-B-like	1	1	3
gene-LOC120037815	LOC120037815	ephrin-B2a-like	1	1	5
gene-LOC120037816	LOC120037816	ras-associated and pleckstrin homology domains-containing protein 1-like	1	1	2
gene-LOC120037817	LOC120037817	runt-related transcription factor 1-like	1	1	8
gene-LOC120037818	LOC120037818	uncharacterized LOC120037818	1	1	0
gene-LOC120037819	LOC120037819	isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	1	1	6
gene-LOC120037824	LOC120037824	transmembrane protein 64-like	1	1	0
gene-LOC120037825	LOC120037825	uncharacterized protein C6orf62 homolog	1	1	0
gene-LOC120037827	LOC120037827	transcription elongation factor A protein 1-like	1	1	6
gene-LOC120037828	LOC120037828	uncharacterized LOC120037828	1	1	0
gene-LOC120037830	LOC120037830	puratrophin-1-like	1	1	0
gene-LOC120037831	LOC120037831	NLR family CARD domain-containing protein 3-like	1	1	0
gene-LOC120037832	LOC120037832	anoctamin-2-like	1	1	3
gene-LOC120037833	LOC120037833	gastrula zinc finger protein XlCGF7.1-like	1	1	3
gene-LOC120037836	LOC120037836	uncharacterized LOC120037836	1	1	0
gene-LOC120037838	LOC120037838	uncharacterized protein KIAA0930 homolog	1	1	0
gene-LOC120037839	LOC120037839	pre-mRNA-splicing factor cwc-21-like	1	1	0
gene-LOC120037840	LOC120037840	protein Dok-7-like	1	1	3
gene-LOC120037841	LOC120037841	astacin-like metalloprotease toxin 5	1	1	3
gene-LOC120037842	LOC120037842	high choriolytic enzyme 1-like	1	1	3
gene-LOC120037843	LOC120037843	uncharacterized LOC120037843	2	3	0
gene-LOC120037843_1			1	1	0
gene-LOC120037844	LOC120037844	COUP transcription factor 2-like	1	1	6
gene-LOC120037847	LOC120037847	extensin-2-like	1	1	0
gene-LOC120037848	LOC120037848	uncharacterized LOC120037848	4	5	0
gene-LOC120037848_1			1	1	0
gene-LOC120037848_2			1	1	0
gene-LOC120037848_3			1	1	0
gene-LOC120037850	LOC120037850	uncharacterized LOC120037850	1	1	0
gene-LOC120037852	LOC120037852	SKI family transcriptional corepressor 2-like	1	1	7
gene-LOC120037853	LOC120037853	forkhead box protein B1-like	1	1	5
gene-LOC120037854	LOC120037854	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3-like	1	1	2
gene-LOC120037855	LOC120037855	proprotein convertase subtilisin/kexin type 6-like	1	2	6
gene-LOC120037856	LOC120037856	neuroblastoma-amplified sequence-like	1	1	4
gene-LOC120037857	LOC120037857	fibulin-5-like	1	1	1
gene-LOC120037859	LOC120037859	uncharacterized LOC120037859	1	1	0
gene-LOC120037860	LOC120037860	ATP-binding cassette sub-family B member 7, mitochondrial-like	1	1	4
gene-LOC120037861	LOC120037861	U6 snRNA-associated Sm-like protein LSm1	1	1	4
gene-LOC120037862	LOC120037862	BAG family molecular chaperone regulator 4-like	1	1	7
gene-LOC120037863	LOC120037863	G protein-coupled receptor kinase 5-like	1	1	4
gene-LOC120037864	LOC120037864	transient receptor potential cation channel subfamily M member 1-like	1	1	2
gene-LOC120037865	LOC120037865	striatin-like	1	1	5
gene-LOC120037866	LOC120037866	divergent protein kinase domain 2A-like	1	1	0
gene-LOC120037869	LOC120037869	uncharacterized LOC120037869	1	1	0
gene-LOC120037872	LOC120037872	cathepsin D-like	1	1	3
gene-LOC120037873	LOC120037873	myoblast determination protein 1 homolog 1	1	1	6
gene-LOC120037878	LOC120037878	kelch-like protein 38	1	1	1
gene-LOC120037879	LOC120037879	spidroin-1-like	1	1	0
gene-LOC120037880	LOC120037880	uncharacterized LOC120037880	1	1	0
gene-LOC120037881	LOC120037881	putative uncharacterized protein ENSP00000383309	1	1	0
gene-LOC120037882	LOC120037882	isoleucine--tRNA ligase, cytoplasmic-like	1	1	0
gene-LOC120037883	LOC120037883	barrier-to-autointegration factor-like	1	1	1
gene-LOC120037884	LOC120037884	barrier-to-autointegration factor-like	1	1	1
gene-LOC120037885	LOC120037885	uncharacterized LOC120037885	1	1	0
gene-LOC120037886	LOC120037886	uncharacterized LOC120037886	1	1	0
gene-LOC120037887	LOC120037887	recoverin-like	1	1	1
gene-LOC120037888	LOC120037888	recoverin-like	1	1	1
gene-LOC120037890	LOC120037890	asparagine--tRNA ligase, cytoplasmic-like	1	1	5
gene-LOC120037893	LOC120037893	transmembrane protein 198-B-like	1	1	3
gene-LOC120037894	LOC120037894	desmin-like	1	1	5
gene-LOC120037895	LOC120037895	atrial natriuretic peptide receptor 3-like	1	1	5
gene-LOC120037896	LOC120037896	CSC1-like protein 2	1	1	2
gene-LOC120037897	LOC120037897	regulator of G-protein signaling 20-like	1	1	0
gene-LOC120037898	LOC120037898	mucin-1-like	1	1	0
gene-LOC120037899	LOC120037899	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1-like	1	1	2
gene-LOC120037900	LOC120037900	uncharacterized LOC120037900	23	32	0
gene-LOC120037900_1			1	1	0
gene-LOC120037900_10			1	1	0
gene-LOC120037900_11			1	1	0
gene-LOC120037900_12			1	1	0
gene-LOC120037900_13			1	1	0
gene-LOC120037900_14			1	1	0
gene-LOC120037900_15			1	1	0
gene-LOC120037900_16			1	1	0
gene-LOC120037900_17			1	1	0
gene-LOC120037900_18			1	1	0
gene-LOC120037900_19			1	1	0
gene-LOC120037900_2			1	1	0
gene-LOC120037900_20			1	1	0
gene-LOC120037900_21			1	1	0
gene-LOC120037900_22			1	1	0
gene-LOC120037900_3			1	1	0
gene-LOC120037900_4			1	1	0
gene-LOC120037900_5			1	1	0
gene-LOC120037900_6			1	1	0
gene-LOC120037900_7			1	1	0
gene-LOC120037900_8			1	1	0
gene-LOC120037900_9			1	1	0
gene-LOC120037901	LOC120037901	uncharacterized LOC120037901	1	1	0
gene-LOC120037902	LOC120037902	uncharacterized LOC120037902	1	1	0
gene-LOC120037903	LOC120037903	cathepsin D-like	1	1	3
gene-LOC120037905	LOC120037905	large neutral amino acids transporter small subunit 1-like	1	1	4
gene-LOC120037906	LOC120037906	NAD-dependent protein deacetylase sirtuin-3-like	1	1	1
gene-LOC120037907	LOC120037907	NAD-dependent protein deacetylase sirtuin-3-like	1	1	1
gene-LOC120037908	LOC120037908	beta-adducin-like	1	1	5
gene-LOC120037912	LOC120037912	D(4) dopamine receptor-like	1	1	5
gene-LOC120037915	LOC120037915	transmembrane protein 236-like	1	1	0
gene-LOC120037916	LOC120037916	signal transducing adapter molecule 1-like	1	1	2
gene-LOC120037921	LOC120037921	putative uncharacterized protein DDB_G0271606	1	1	0
gene-LOC120037928	LOC120037928	contactin-associated protein-like 2	1	1	0
gene-LOC120037929	LOC120037929	T-lymphoma invasion and metastasis-inducing protein 1-like	1	1	7
gene-LOC120037930	LOC120037930	E3 ubiquitin-protein ligase listerin-like	1	1	6
gene-LOC120037933	LOC120037933	uncharacterized LOC120037933	1	1	0
gene-LOC120037934	LOC120037934	transcription regulator protein BACH1-like	1	1	4
gene-LOC120037935	LOC120037935	glutamate receptor ionotropic, kainate 1	1	1	9
gene-LOC120037936	LOC120037936	glutamate receptor ionotropic, kainate 1-like	1	1	8
gene-LOC120037961	LOC120037961	TGF-beta receptor type-2-like	1	1	13
gene-LOC120037964	LOC120037964	28S ribosomal RNA	1	1	0
gene-LOC120037967	LOC120037967	high mobility group nucleosome-binding domain-containing protein 3-like	1	1	4
gene-LOC120037968	LOC120037968	uncharacterized LOC120037968	6	6	4
gene-LOC120037968_1			1	1	0
gene-LOC120037968_2			1	1	0
gene-LOC120037968_3			1	1	0
gene-LOC120037968_4			1	1	0
gene-LOC120037968_5			1	1	0
gene-LOC120037969	LOC120037969	5-aminolevulinate synthase, nonspecific, mitochondrial-like	1	1	7
gene-LOC120037971	LOC120037971	monoacylglycerol lipase ABHD6-like	1	1	0
gene-LOC120037977	LOC120037977	deoxyribonuclease gamma-like	1	1	3
gene-LOC120037979	LOC120037979	protein shisa-5-like	1	1	0
gene-LOC120037981	LOC120037981	ATR interacting protein	1	1	2
gene-LOC120037984	LOC120037984	hydroxyacyl-thioester dehydratase type 2, mitochondrial-like	1	1	0
gene-LOC120037987	LOC120037987	pyruvate dehydrogenase E1 component subunit beta, mitochondrial-like	1	1	3
gene-LOC120037988	LOC120037988	adhesive plaque matrix protein-like	1	1	0
gene-LOC120037992	LOC120037992	atrial natriuretic peptide receptor 2-like	1	1	8
gene-LOC120037994	LOC120037994	uncharacterized LOC120037994	1	1	0
gene-LOC120037995	LOC120037995	Fc receptor-like protein 5	1	1	2
gene-LOC120037996	LOC120037996	dynein heavy chain-like	1	1	0
gene-LOC120037998	LOC120037998	potassium voltage-gated channel subfamily A member 2-like	1	1	9
gene-LOC120037999	LOC120037999	uncharacterized LOC120037999	1	1	0
gene-LOC120038002	LOC120038002	D(1) dopamine receptor-like	1	1	3
gene-LOC120038005	LOC120038005	elongation factor 2-like	1	1	7
gene-LOC120038006	LOC120038006	E3 SUMO-protein ligase PIAS2-like	1	1	5
gene-LOC120038007	LOC120038007	AT-rich interactive domain-containing protein 3A-like	1	1	0
gene-LOC120038008	LOC120038008	AT-rich interactive domain-containing protein 3A-like	1	1	0
gene-LOC120038009	LOC120038009	AT-rich interactive domain-containing protein 3A-like	1	1	3
gene-LOC120038011	LOC120038011	ATP-binding cassette sub-family B member 7, mitochondrial-like	1	1	6
gene-LOC120038017	LOC120038017	28S ribosomal RNA	1	1	0
gene-LOC120038018	LOC120038018	chymotrypsin A-like	1	3	2
gene-LOC120038019	LOC120038019	chymotrypsin A-like	1	1	2
gene-LOC120038020	LOC120038020	chymotrypsin A-like	1	2	2
gene-LOC120038022	LOC120038022	2-hydroxyacyl-CoA lyase 1-like	1	1	5
gene-LOC120038026	LOC120038026	cyclic AMP-responsive element-binding protein 5-like	1	1	3
gene-LOC120038027	LOC120038027	probable serine carboxypeptidase CPVL	1	1	2
gene-LOC120038028	LOC120038028	acetylcholinesterase collagenic tail peptide-like	1	1	0
gene-LOC120038033	LOC120038033	hairy/enhancer-of-split related with YRPW motif-like protein	1	1	9
gene-LOC120038036	LOC120038036	otogelin-like	1	1	2
gene-LOC120038041	LOC120038041	28S ribosomal RNA	1	1	0
gene-LOC120038042	LOC120038042	glycine receptor subunit beta-like	1	1	12
gene-LOC120038043	LOC120038043	probable rRNA-processing protein ebp2	2	1	0
gene-LOC120038045	LOC120038045	gibberellin-regulated protein 14-like	1	1	0
gene-LOC120038046	LOC120038046	probable E3 ubiquitin-protein ligase HERC1	1	1	1
gene-LOC120038047	LOC120038047	cell wall protein RBR3	1	2	4
gene-LOC120038048	LOC120038048	neural cell adhesion molecule L1.2-like	1	1	0
gene-LOC120038050	LOC120038050	uncharacterized LOC120038050	2	1	0
gene-LOC120038051	LOC120038051	uncharacterized LOC120038051	1	1	0
gene-LOC120038053	LOC120038053	plasma membrane calcium-transporting ATPase 3-like	1	1	7
gene-LOC120038054	LOC120038054	AMP deaminase 2-like	1	1	4
gene-LOC120038055	LOC120038055	glutathione S-transferase Mu 3-like	1	1	2
gene-LOC120038056	LOC120038056	glutathione S-transferase Mu 3-like	3	1	2
gene-LOC120038057	LOC120038057	dedicator of cytokinesis protein 1-like	1	1	6
gene-LOC120038058	LOC120038058	type-1 angiotensin II receptor-like	1	1	5
gene-LOC120038060	LOC120038060	glycogenin-1-like	1	1	2
gene-LOC120038061	LOC120038061	cytoplasmic protein NCK1-like	1	1	4
gene-LOC120038062	LOC120038062	cytoplasmic protein NCK1-like	1	1	5
gene-LOC120038065	LOC120038065	dysferlin-like	1	1	10
gene-LOC120038066	LOC120038066	olfactory receptor 6N1-like	1	1	4
gene-LOC120038067	LOC120038067	E3 ubiquitin-protein ligase HERC2-like	1	1	1
gene-LOC120038068	LOC120038068	dynactin subunit 4-like	1	1	1
gene-LOC120038070	LOC120038070	dexamethasone-induced Ras-related protein 1-like	1	1	2
gene-LOC120038071	LOC120038071	transcription factor Sox-8-like	1	1	6
gene-LOC120038072	LOC120038072	mediator of RNA polymerase II transcription subunit 9-like	1	1	3
gene-LOC120038078	LOC120038078	5S ribosomal RNA	1	1	0
gene-LOC120038082	LOC120038082	5S ribosomal RNA	1	1	0
gene-LOC120038086	LOC120038086	U1 spliceosomal RNA	1	1	0
gene-LOC120038087	LOC120038087	U1 spliceosomal RNA	1	1	0
gene-LOC120038088	LOC120038088	U1 spliceosomal RNA	1	1	0
gene-LOC120038090	LOC120038090	U1 spliceosomal RNA	1	1	0
gene-LOC120038091	LOC120038091	U1 spliceosomal RNA	1	1	0
gene-LOC120038092	LOC120038092	U1 spliceosomal RNA	1	1	0
gene-LOC120038093	LOC120038093	U1 spliceosomal RNA	1	1	0
gene-LOC120038094	LOC120038094	U1 spliceosomal RNA	1	1	0
gene-LOC120038100	LOC120038100	U1 spliceosomal RNA	1	1	0
gene-LOC120038110	LOC120038110	5S ribosomal RNA	1	1	0
gene-LOC120038129	LOC120038129	acidic leucine-rich nuclear phosphoprotein 32 family member D-like	1	1	3
gene-LOC120038130	LOC120038130	tyrosine-protein kinase Tec-like	1	1	7
gene-LOC120038131	LOC120038131	1,4-alpha-glucan-branching enzyme-like	1	1	4
gene-LOC120038132	LOC120038132	1,4-alpha-glucan-branching enzyme-like	1	1	3
gene-LOC120038136	LOC120038136	UPF0472 protein C16orf72 homolog	1	1	0
gene-LOC120038137	LOC120038137	uncharacterized LOC120038137	1	2	0
gene-LOC120038147	LOC120038147	5S ribosomal RNA	1	1	0
gene-LOC120038148	LOC120038148	5S ribosomal RNA	1	1	0
gene-LOC120038154	LOC120038154	U1 spliceosomal RNA	1	1	0
gene-LOC120038178	LOC120038178	retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma-like	1	1	6
gene-LOC120038179	LOC120038179	receptor-type tyrosine-protein phosphatase O-like	1	1	11
gene-LOC120038181	LOC120038181	claudin-9-like	1	1	5
gene-LOC120038182	LOC120038182	mitochondrial dicarboxylate carrier-like	1	1	14
gene-LOC120038183	LOC120038183	trichohyalin-like	1	1	1
gene-LOC120038184	LOC120038184	GTPase IMAP family member 8-like	1	1	1
gene-LOC120038185	LOC120038185	GTPase IMAP family member 7-like	1	2	1
gene-LOC120038186	LOC120038186	GTPase IMAP family member 9-like	2	1	1
gene-LOC120038187	LOC120038187	GTPase IMAP family member 9-like	1	1	1
gene-LOC120038188	LOC120038188	GTPase IMAP family member 9-like	1	1	1
gene-LOC120038190	LOC120038190	GTPase IMAP family member 9-like	1	1	1
gene-LOC120038191	LOC120038191	LITAF domain-containing protein-like	1	1	1
gene-LOC120038193	LOC120038193	GTPase IMAP family member 7-like	1	1	1
gene-LOC120038195	LOC120038195	GTPase IMAP family member 7-like	1	2	1
gene-LOC120038196	LOC120038196	GTPase IMAP family member 7-like	1	1	1
gene-LOC120038197	LOC120038197	GTP-binding protein Rhes-like	1	1	2
gene-LOC120038198	LOC120038198	mycbp associated protein	1	2	0
gene-LOC120038200	LOC120038200	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1	1	1	0
gene-LOC120038201	LOC120038201	GTPase IMAP family member 7-like	1	2	1
gene-LOC120038202	LOC120038202	GTPase IMAP family member 7-like	1	1	1
gene-LOC120038203	LOC120038203	GTPase IMAP family member 9-like	1	1	1
gene-LOC120038204	LOC120038204	GTPase IMAP family member 7-like	1	3	1
gene-LOC120038206	LOC120038206	ankyrin repeat and protein kinase domain-containing protein 1-like	1	2	3
gene-LOC120038207	LOC120038207	GTPase IMAP family member 4-like	1	1	1
gene-LOC120038209	LOC120038209	uncharacterized LOC120038209	1	1	0
gene-LOC120038210	LOC120038210	GTPase IMAP family member 7-like	1	1	1
gene-LOC120038211	LOC120038211	GTPase IMAP family member 7-like	1	1	1
gene-LOC120038212	LOC120038212	uncharacterized LOC120038212	1	1	0
gene-LOC120038216	LOC120038216	fibroblast growth factor 16	1	1	11
gene-LOC120038217	LOC120038217	transmembrane protein 26-like	1	1	0
gene-LOC120038218	LOC120038218	tetraspanin-18-like	1	1	1
gene-LOC120038219	LOC120038219	XK-related protein 6	1	1	4
gene-LOC120038220	LOC120038220	uncharacterized PPE family protein PPE12-like	1	1	0
gene-LOC120038223	LOC120038223	butyrophilin subfamily 1 member A1-like	1	1	0
gene-LOC120038232	LOC120038232	5S ribosomal RNA	1	1	0
gene-LOC120038235	LOC120038235	5S ribosomal RNA	1	1	0
gene-LOC120038258	LOC120038258	zinc finger protein 653-like	1	1	3
gene-LOC120038266	LOC120038266	mothers against decapentaplegic homolog 3-like	1	1	10
gene-LOC120038270	LOC120038270	E3 ubiquitin-protein ligase rnf168-like	1	1	2
gene-LOC120038271	LOC120038271	RING finger protein 224-like	1	1	2
gene-LOC120038275	LOC120038275	RING finger protein 224-like	1	1	2
gene-LOC120038276	LOC120038276	uncharacterized LOC120038276	1	1	0
