gene_id	symbol	product	copies_siscowet	in_lean_unmapped	n_go
gene-LOC120035580_30			1		0
gene-LOC120035580_31			1		0
gene-LOC120035580_32			1		0
gene-LOC120035580_33			1		0
gene-LOC120035580_34			1		0
gene-LOC120035580_35			1		0
gene-LOC120035580_36			1		0
gene-LOC120035580_37			1		0
gene-LOC120035580_38			1		0
gene-LOC120035580_39			1		0
gene-LOC120035580_40			1		0
gene-LOC120035580_41			1		0
gene-LOC120035580_42			1		0
gene-LOC120035580_43			1		0
gene-LOC120035580_44			1		0
gene-LOC120035580_5			1		0
gene-LOC120035580_6			1		0
gene-LOC120035580_7			1		0
gene-LOC120035580_8			1		0
gene-LOC120035580_9			1		0
gene-LOC120035582_10			1		0
gene-LOC120035582_11			1		0
gene-LOC120035582_12			1		0
gene-LOC120035582_2			1		0
gene-LOC120035582_3			1		0
gene-LOC120035582_4			1		0
gene-LOC120035582_5			1		0
gene-LOC120035582_6			1		0
gene-LOC120035582_7			1		0
gene-LOC120035582_8			1		0
gene-LOC120035582_9			1		0
gene-LOC120035583_1			1		0
gene-LOC120035583_2			1		0
gene-LOC120035603_2			1		0
gene-LOC120035603_3			1		0
gene-LOC120035641_1			1		0
gene-LOC120035644	LOC120035644	5.8S ribosomal RNA	1	Y	0
gene-LOC120035649	LOC120035649	CMRF35-like molecule 8	1	Y	2
gene-LOC120035651	LOC120035651	pancreatic secretory granule membrane major glycoprotein GP2-like	1	Y	4
gene-LOC120035659	LOC120035659	parathyroid hormone 2 receptor-like	1	Y	6
gene-LOC120035660	LOC120035660	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma-like	1	Y	3
gene-LOC120035677	LOC120035677	piggyBac transposable element-derived protein 4-like	1	Y	0
gene-LOC120035682_1			1		0
gene-LOC120035683	LOC120035683	piggyBac transposable element-derived protein 4-like	1	Y	0
gene-LOC120035696	LOC120035696	uncharacterized LOC120035696	1	Y	0
gene-LOC120035697_1			1		0
gene-LOC120035703	LOC120035703	endoplasmic reticulum protein SC65-like	1	Y	5
gene-LOC120035706_1			1		0
gene-LOC120035708_1			1		0
gene-LOC120035710	LOC120035710	DNA damage-binding protein 2-like	1	Y	6
gene-LOC120035711	LOC120035711	peptidyl-prolyl cis-trans isomerase FKBP10-like	1	Y	2
gene-LOC120035720	LOC120035720	kelch-like protein 11	1	Y	1
gene-LOC120035730_17			1		0
gene-LOC120035730_18			1		0
gene-LOC120035730_19			1		0
gene-LOC120035730_20			1		0
gene-LOC120035730_21			1		0
gene-LOC120035730_22			1		0
gene-LOC120035730_23			1		0
gene-LOC120035730_24			1		0
gene-LOC120035730_25			1		0
gene-LOC120035730_26			1		0
gene-LOC120035732	LOC120035732	ATP-citrate synthase-like	1	Y	6
gene-LOC120035741	LOC120035741	glucagon receptor-like	1	Y	6
gene-LOC120035747	LOC120035747	18S ribosomal RNA	1	Y	0
gene-LOC120035753	LOC120035753	titin-like	1	Y	4
gene-LOC120035757	LOC120035757	5.8S ribosomal RNA	1	Y	0
gene-LOC120035764	LOC120035764	U5 spliceosomal RNA	1	Y	0
gene-LOC120035766	LOC120035766	U2 spliceosomal RNA	1	Y	0
gene-LOC120035767	LOC120035767	U5 spliceosomal RNA	1	Y	0
gene-LOC120035768	LOC120035768	U5 spliceosomal RNA	1	Y	0
gene-LOC120035769	LOC120035769	U5 spliceosomal RNA	1	Y	0
gene-LOC120035771	LOC120035771	U5 spliceosomal RNA	1	Y	0
gene-LOC120035772	LOC120035772	U5 spliceosomal RNA	1	Y	0
gene-LOC120035776	LOC120035776	U5 spliceosomal RNA	1	Y	0
gene-LOC120035777	LOC120035777	heat shock 70 kDa protein-like	1	Y	13
gene-LOC120035778	LOC120035778	U2 spliceosomal RNA	1	Y	0
gene-LOC120035780	LOC120035780	U5 spliceosomal RNA	1	Y	0
gene-LOC120035781	LOC120035781	U5 spliceosomal RNA	1	Y	0
gene-LOC120035782	LOC120035782	U5 spliceosomal RNA	1	Y	0
gene-LOC120035783	LOC120035783	U5 spliceosomal RNA	1	Y	0
gene-LOC120035784	LOC120035784	U5 spliceosomal RNA	1	Y	0
gene-LOC120035785	LOC120035785	U5 spliceosomal RNA	1	Y	0
gene-LOC120035787	LOC120035787	U5 spliceosomal RNA	1	Y	0
gene-LOC120035788	LOC120035788	U5 spliceosomal RNA	1	Y	0
gene-LOC120035791	LOC120035791	U5 spliceosomal RNA	1	Y	0
gene-LOC120035798	LOC120035798	U2 spliceosomal RNA	1	Y	0
gene-LOC120035799	LOC120035799	U2 spliceosomal RNA	1	Y	0
gene-LOC120035800	LOC120035800	U2 spliceosomal RNA	1	Y	0
gene-LOC120035801	LOC120035801	U2 spliceosomal RNA	1	Y	0
gene-LOC120035804	LOC120035804	U2 spliceosomal RNA	1	Y	0
gene-LOC120035805	LOC120035805	U2 spliceosomal RNA	1	Y	0
gene-LOC120035806	LOC120035806	U2 spliceosomal RNA	1	Y	0
gene-LOC120035807	LOC120035807	U2 spliceosomal RNA	1	Y	0
gene-LOC120035808	LOC120035808	U2 spliceosomal RNA	1	Y	0
gene-LOC120035809	LOC120035809	U2 spliceosomal RNA	1	Y	0
gene-LOC120035810	LOC120035810	U2 spliceosomal RNA	1	Y	0
gene-LOC120035811	LOC120035811	U2 spliceosomal RNA	1	Y	0
gene-LOC120035812	LOC120035812	U2 spliceosomal RNA	1	Y	0
gene-LOC120035813	LOC120035813	U2 spliceosomal RNA	1	Y	0
gene-LOC120035820	LOC120035820	U2 spliceosomal RNA	1	Y	0
gene-LOC120035823	LOC120035823	U2 spliceosomal RNA	1	Y	0
gene-LOC120035824	LOC120035824	U2 spliceosomal RNA	1	Y	0
gene-LOC120035831	LOC120035831	U5 spliceosomal RNA	1	Y	0
gene-LOC120035832	LOC120035832	U5 spliceosomal RNA	1	Y	0
gene-LOC120035834	LOC120035834	U5 spliceosomal RNA	1	Y	0
gene-LOC120035835	LOC120035835	U2 spliceosomal RNA	1	Y	0
gene-LOC120035836	LOC120035836	U5 spliceosomal RNA	1	Y	0
gene-LOC120035837	LOC120035837	U5 spliceosomal RNA	1	Y	0
gene-LOC120035838	LOC120035838	U5 spliceosomal RNA	1	Y	0
gene-LOC120035839	LOC120035839	U5 spliceosomal RNA	1	Y	0
gene-LOC120035848_1			1		0
gene-LOC120035848_2			1		0
gene-LOC120035848_3			1		0
gene-LOC120035850_7			1		0
gene-LOC120035850_8			1		0
gene-LOC120035852_29			1		0
gene-LOC120035852_30			1		0
gene-LOC120035852_31			1		0
gene-LOC120035852_32			1		0
gene-LOC120035852_33			1		0
gene-LOC120035852_34			1		0
gene-LOC120035852_35			1		0
gene-LOC120035852_36			1		0
gene-LOC120035852_37			1		0
gene-LOC120035852_38			1		0
gene-LOC120035852_39			1		0
gene-LOC120035852_40			1		0
gene-LOC120035852_41			1		0
gene-LOC120035852_42			1		0
gene-LOC120035852_43			1		0
gene-LOC120035852_44			1		0
gene-LOC120035852_45			1		0
gene-LOC120035852_46			1		0
gene-LOC120035852_47			1		0
gene-LOC120035852_48			1		0
gene-LOC120035852_49			1		0
gene-LOC120035852_50			1		0
gene-LOC120035853_10			1		0
gene-LOC120035853_11			1		0
gene-LOC120035853_12			1		0
gene-LOC120035853_13			1		0
gene-LOC120035853_14			1		0
gene-LOC120035853_15			1		0
gene-LOC120035853_16			1		0
gene-LOC120035853_17			1		0
gene-LOC120035853_18			1		0
gene-LOC120035853_19			1		0
gene-LOC120035853_20			1		0
gene-LOC120035853_21			1		0
gene-LOC120035853_22			1		0
gene-LOC120035853_23			1		0
gene-LOC120035853_24			1		0
gene-LOC120035853_25			1		0
gene-LOC120035853_26			1		0
gene-LOC120035853_27			1		0
gene-LOC120035853_28			1		0
gene-LOC120035853_29			1		0
gene-LOC120035853_30			1		0
gene-LOC120035853_31			1		0
gene-LOC120035853_32			1		0
gene-LOC120035853_33			1		0
gene-LOC120035853_34			1		0
gene-LOC120035853_35			1		0
gene-LOC120035853_36			1		0
gene-LOC120035853_37			1		0
gene-LOC120035853_38			1		0
gene-LOC120035853_39			1		0
gene-LOC120035854_1			1		0
gene-LOC120035854_10			1		0
gene-LOC120035854_11			1		0
gene-LOC120035854_12			1		0
gene-LOC120035854_13			1		0
gene-LOC120035854_14			1		0
gene-LOC120035854_15			1		0
gene-LOC120035854_16			1		0
gene-LOC120035854_17			1		0
gene-LOC120035854_18			1		0
gene-LOC120035854_19			1		0
gene-LOC120035854_2			1		0
gene-LOC120035854_20			1		0
gene-LOC120035854_21			1		0
gene-LOC120035854_22			1		0
gene-LOC120035854_23			1		0
gene-LOC120035854_24			1		0
gene-LOC120035854_25			1		0
gene-LOC120035854_26			1		0
gene-LOC120035854_27			1		0
gene-LOC120035854_28			1		0
gene-LOC120035854_29			1		0
gene-LOC120035854_3			1		0
gene-LOC120035854_30			1		0
gene-LOC120035854_31			1		0
gene-LOC120035854_32			1		0
gene-LOC120035854_33			1		0
gene-LOC120035854_34			1		0
gene-LOC120035854_35			1		0
gene-LOC120035854_36			1		0
gene-LOC120035854_37			1		0
gene-LOC120035854_38			1		0
gene-LOC120035854_39			1		0
gene-LOC120035854_4			1		0
gene-LOC120035854_5			1		0
gene-LOC120035854_6			1		0
gene-LOC120035854_7			1		0
gene-LOC120035854_8			1		0
gene-LOC120035854_9			1		0
gene-LOC120035855_1			1		0
gene-LOC120035855_10			1		0
gene-LOC120035855_11			1		0
gene-LOC120035855_12			1		0
gene-LOC120035855_13			1		0
gene-LOC120035855_14			1		0
gene-LOC120035855_15			1		0
gene-LOC120035855_16			1		0
gene-LOC120035855_17			1		0
gene-LOC120035855_18			1		0
gene-LOC120035855_19			1		0
gene-LOC120035855_2			1		0
gene-LOC120035855_20			1		0
gene-LOC120035855_21			1		0
gene-LOC120035855_22			1		0
gene-LOC120035855_23			1		0
gene-LOC120035855_24			1		0
gene-LOC120035855_25			1		0
gene-LOC120035855_26			1		0
gene-LOC120035855_27			1		0
gene-LOC120035855_28			1		0
gene-LOC120035855_29			1		0
gene-LOC120035855_3			1		0
gene-LOC120035855_30			1		0
gene-LOC120035855_4			1		0
gene-LOC120035855_5			1		0
gene-LOC120035855_6			1		0
gene-LOC120035855_7			1		0
gene-LOC120035855_8			1		0
gene-LOC120035855_9			1		0
gene-LOC120035856_1			1		0
gene-LOC120035856_10			1		0
gene-LOC120035856_11			1		0
gene-LOC120035856_12			1		0
gene-LOC120035856_13			1		0
gene-LOC120035856_14			1		0
gene-LOC120035856_15			1		0
gene-LOC120035856_16			1		0
gene-LOC120035856_17			1		0
gene-LOC120035856_18			1		0
gene-LOC120035856_19			1		0
gene-LOC120035856_2			1		0
gene-LOC120035856_20			1		0
gene-LOC120035856_3			1		0
gene-LOC120035856_4			1		0
gene-LOC120035856_5			1		0
gene-LOC120035856_6			1		0
gene-LOC120035856_7			1		0
gene-LOC120035856_8			1		0
gene-LOC120035856_9			1		0
gene-LOC120035857_1			1		0
gene-LOC120035857_10			1		0
gene-LOC120035857_11			1		0
gene-LOC120035857_12			1		0
gene-LOC120035857_13			1		0
gene-LOC120035857_14			1		0
gene-LOC120035857_15			1		0
gene-LOC120035857_16			1		0
gene-LOC120035857_17			1		0
gene-LOC120035857_18			1		0
gene-LOC120035857_19			1		0
gene-LOC120035857_2			1		0
gene-LOC120035857_20			1		0
gene-LOC120035857_21			1		0
gene-LOC120035857_3			1		0
gene-LOC120035857_4			1		0
gene-LOC120035857_5			1		0
gene-LOC120035857_6			1		0
gene-LOC120035857_7			1		0
gene-LOC120035857_8			1		0
gene-LOC120035857_9			1		0
gene-LOC120035858_1			1		0
gene-LOC120035858_10			1		0
gene-LOC120035858_11			1		0
gene-LOC120035858_12			1		0
gene-LOC120035858_13			1		0
gene-LOC120035858_14			1		0
gene-LOC120035858_15			1		0
gene-LOC120035858_16			1		0
gene-LOC120035858_17			1		0
gene-LOC120035858_18			1		0
gene-LOC120035858_2			1		0
gene-LOC120035858_3			1		0
gene-LOC120035858_4			1		0
gene-LOC120035858_5			1		0
gene-LOC120035858_6			1		0
gene-LOC120035858_7			1		0
gene-LOC120035858_8			1		0
gene-LOC120035858_9			1		0
gene-LOC120035859_1			1		0
gene-LOC120035859_10			1		0
gene-LOC120035859_11			1		0
gene-LOC120035859_12			1		0
gene-LOC120035859_13			1		0
gene-LOC120035859_14			1		0
gene-LOC120035859_15			1		0
gene-LOC120035859_2			1		0
gene-LOC120035859_3			1		0
gene-LOC120035859_4			1		0
gene-LOC120035859_5			1		0
gene-LOC120035859_6			1		0
gene-LOC120035859_7			1		0
gene-LOC120035859_8			1		0
gene-LOC120035859_9			1		0
gene-LOC120035860_1			1		0
gene-LOC120035860_10			1		0
gene-LOC120035860_11			1		0
gene-LOC120035860_12			1		0
gene-LOC120035860_13			1		0
gene-LOC120035860_2			1		0
gene-LOC120035860_3			1		0
gene-LOC120035860_4			1		0
gene-LOC120035860_5			1		0
gene-LOC120035860_6			1		0
gene-LOC120035860_7			1		0
gene-LOC120035860_8			1		0
gene-LOC120035860_9			1		0
gene-LOC120035861_1			1		0
gene-LOC120035861_10			1		0
gene-LOC120035861_11			1		0
gene-LOC120035861_2			1		0
gene-LOC120035861_3			1		0
gene-LOC120035861_4			1		0
gene-LOC120035861_5			1		0
gene-LOC120035861_6			1		0
gene-LOC120035861_7			1		0
gene-LOC120035861_8			1		0
gene-LOC120035861_9			1		0
gene-LOC120035862_1			1		0
gene-LOC120035862_10			1		0
gene-LOC120035862_11			1		0
gene-LOC120035862_2			1		0
gene-LOC120035862_3			1		0
gene-LOC120035862_4			1		0
gene-LOC120035862_5			1		0
gene-LOC120035862_6			1		0
gene-LOC120035862_7			1		0
gene-LOC120035862_8			1		0
gene-LOC120035862_9			1		0
gene-LOC120035873	LOC120035873	NLR family CARD domain-containing protein 3-like	1	Y	0
gene-LOC120035881_1			1		0
gene-LOC120035881_2			1		0
gene-LOC120035881_3			1		0
gene-LOC120035881_4			1		0
gene-LOC120035881_5			1		0
gene-LOC120035881_6			1		0
gene-LOC120035881_7			1		0
gene-LOC120035884_1			1		0
gene-LOC120035894_7			1		0
gene-LOC120035898	LOC120035898	proline-rich protein HaeIII subfamily 1-like	1	Y	0
gene-LOC120035917	LOC120035917	transmembrane protein 87A-like	1	Y	0
gene-LOC120035932	LOC120035932	probable cationic amino acid transporter	1	Y	4
gene-LOC120035933	LOC120035933	claudin-11-like	1	Y	5
gene-LOC120035973	LOC120035973	zinc finger protein 135-like	1	Y	4
gene-LOC120035984	LOC120035984	5.8S ribosomal RNA	1	Y	0
gene-LOC120035997	LOC120035997	18S ribosomal RNA	1	Y	0
gene-LOC120036005	LOC120036005	sodium- and chloride-dependent GABA transporter 1-like	1	Y	4
gene-LOC120036008	LOC120036008	protein mono-ADP-ribosyltransferase PARP11-like	1	Y	1
gene-LOC120036010	LOC120036010	sodium- and chloride-dependent GABA transporter 2-like	1	Y	2
gene-LOC120036018_5			1		0
gene-LOC120036018_6			1		0
gene-LOC120036018_7			1		0
gene-LOC120036020_3			1		0
gene-LOC120036021_4			1		0
gene-LOC120036021_5			1		0
gene-LOC120036021_6			1		0
gene-LOC120036037	LOC120036037	NACHT, LRR and PYD domains-containing protein 1 homolog	1	Y	1
gene-LOC120036038_1			1		0
gene-LOC120036038_2			1		0
gene-LOC120036038_3			1		0
gene-LOC120036038_4			1		0
gene-LOC120036038_5			1		0
gene-LOC120036038_6			1		0
gene-LOC120036038_7			1		0
gene-LOC120036038_8			1		0
gene-LOC120036041	LOC120036041	sal-like protein 1	2	Y	4
gene-LOC120036041_1			1		0
gene-LOC120036048	LOC120036048	5.8S ribosomal RNA	1	Y	0
gene-LOC120036051	LOC120036051	18S ribosomal RNA	1	Y	0
gene-LOC120036052	LOC120036052	uncharacterized LOC120036052	1	Y	7
gene-LOC120036067_1			1		0
gene-LOC120036084_5			1		0
gene-LOC120036106_1			1		0
gene-LOC120036107	LOC120036107	histone-lysine N-methyltransferase EZH1-like	1	Y	4
gene-LOC120036113_1			1		0
gene-LOC120036120_1			1		0
gene-LOC120036123_5			1		0
gene-LOC120036123_6			1		0
gene-LOC120036126	LOC120036126	unconventional myosin-X-like	1	Y	2
gene-LOC120036138	LOC120036138	tubulin gamma-1 chain	1	Y	14
gene-LOC120036139	LOC120036139	mitochondrial glutamate carrier 1-like	1	Y	5
gene-LOC120036147	LOC120036147	reticulophagy regulator 3-like	1	Y	1
gene-LOC120036155	LOC120036155	epsin-3-like	1	Y	6
gene-LOC120036158	LOC120036158	max-like protein X	1	Y	5
gene-LOC120036166	LOC120036166	homologous-pairing protein 2 homolog	1	Y	7
gene-LOC120036170	LOC120036170	extensin-like	1	Y	0
gene-LOC120036180	LOC120036180	formin-like protein 1	1	Y	6
gene-LOC120036195_1			1		0
gene-LOC120036200	LOC120036200	sodium-dependent neutral amino acid transporter B(0)AT1-like	1	Y	2
gene-LOC120036205_1			1		0
gene-LOC120036205_2			1		0
gene-LOC120036220_1			1		0
gene-LOC120036220_2			1		0
gene-LOC120036220_3			1		0
gene-LOC120036225	LOC120036225	extensin-like	1	Y	0
gene-LOC120036274	LOC120036274	lysM and putative peptidoglycan-binding domain-containing protein 2-like	1	Y	0
gene-LOC120036298_2			1		0
gene-LOC120036315_1			1		0
gene-LOC120036321_1			1		0
gene-LOC120036331_1			1		0
gene-LOC120036334	LOC120036334	cytokine receptor-like factor 3	1	Y	1
gene-LOC120036336	LOC120036336	uncharacterized LOC120036336	1	Y	1
gene-LOC120036339	LOC120036339	mpv17-like protein	1	Y	2
gene-LOC120036340	LOC120036340	uncharacterized LOC120036340	1	Y	0
gene-LOC120036369	LOC120036369	proline-rich protein 2-like	1	Y	0
gene-LOC120036379_2			1		0
gene-LOC120036392	LOC120036392	5S ribosomal RNA	1	Y	0
gene-LOC120036408	LOC120036408	5S ribosomal RNA	1	Y	0
gene-LOC120036429_4			1		0
gene-LOC120036429_5			1		0
gene-LOC120036429_6			1		0
gene-LOC120036431_1			1		0
gene-LOC120036433_10			1		0
gene-LOC120036433_11			1		0
gene-LOC120036433_12			1		0
gene-LOC120036433_9			1		0
gene-LOC120036434	LOC120036434	uncharacterized LOC120036434	1	Y	3
gene-LOC120036435	LOC120036435	testis-expressed protein 10 homolog	1	Y	2
gene-LOC120036436	LOC120036436	meckelin-like	1	Y	3
gene-LOC120036438	LOC120036438	pyruvate dehydrogenase [acetyl-transferring]-phosphatase 1, mitochondrial-like	1	Y	3
gene-LOC120036447	LOC120036447	axin-1-like	1	Y	1
gene-LOC120036452	LOC120036452	transmembrane emp24 domain-containing protein 3-like	1	Y	8
gene-LOC120036460	LOC120036460	piggyBac transposable element-derived protein 4-like	1	Y	0
gene-LOC120036463	LOC120036463	uncharacterized LOC120036463	1	Y	0
gene-LOC120036464	LOC120036464	piggyBac transposable element-derived protein 4-like	1	Y	0
gene-LOC120036468_10			1		0
gene-LOC120036468_11			1		0
gene-LOC120036468_6			1		0
gene-LOC120036468_7			1		0
gene-LOC120036468_8			1		0
gene-LOC120036468_9			1		0
gene-LOC120036469_1			1		0
gene-LOC120036471	LOC120036471	zinc finger CCCH domain-containing protein 7A-like	1	Y	4
gene-LOC120036477_1			1		0
gene-LOC120036493	LOC120036493	uncharacterized LOC120036493	1	Y	5
gene-LOC120036514	LOC120036514	piggyBac transposable element-derived protein 4-like	1	Y	0
gene-LOC120036515	LOC120036515	UNC93-like protein MFSD11	1	Y	0
gene-LOC120036516	LOC120036516	piggyBac transposable element-derived protein 4-like	1	Y	0
gene-LOC120036517	LOC120036517	piggyBac transposable element-derived protein 4-like	1	Y	0
gene-LOC120036518	LOC120036518	ubiquitin domain-containing protein UBFD1-like	1	Y	2
gene-LOC120036520	LOC120036520	uncharacterized LOC120036520	1	Y	0
gene-LOC120036521	LOC120036521	uncharacterized LOC120036521	1	Y	0
gene-LOC120036522	LOC120036522	uncharacterized LOC120036522	1	Y	0
gene-LOC120036523	LOC120036523	uncharacterized LOC120036523	1	Y	0
gene-LOC120036526	LOC120036526	lysine-specific demethylase 8-like	1	Y	3
gene-LOC120036534	LOC120036534	small nucleolar RNA SNORD22	1	Y	0
gene-LOC120036537	LOC120036537	small nucleolar RNA SNORD22	1	Y	0
gene-LOC120036538	LOC120036538	small nucleolar RNA SNORD22	1	Y	0
gene-LOC120036544	LOC120036544	small nucleolar RNA SNORD22	1	Y	0
gene-LOC120036545	LOC120036545	small nucleolar RNA SNORD22	1	Y	0
gene-LOC120036548	LOC120036548	small nucleolar RNA SNORD22	1	Y	0
gene-LOC120036549	LOC120036549	small nucleolar RNA SNORD29	2	Y	0
gene-LOC120036549_1			1		0
gene-LOC120036550	LOC120036550	small nucleolar RNA SNORD29	1	Y	0
gene-LOC120036552	LOC120036552	small nucleolar RNA SNORD29	1	Y	0
gene-LOC120036554_1			1		0
gene-LOC120036557	LOC120036557	small nucleolar RNA SNORD29	1	Y	0
gene-LOC120036562	LOC120036562	small nucleolar RNA SNORD31	1	Y	0
gene-LOC120036563	LOC120036563	small nucleolar RNA SNORD31	1	Y	0
gene-LOC120036564_1			1		0
gene-LOC120036565	LOC120036565	small nucleolar RNA SNORD31	1	Y	0
gene-LOC120036567	LOC120036567	small nucleolar RNA SNORD31	1	Y	0
gene-LOC120036568_1			1		0
gene-LOC120036570	LOC120036570	small nucleolar RNA SNORD31	1	Y	0
gene-LOC120036591	LOC120036591	small nucleolar RNA SNORD31	1	Y	0
gene-LOC120036616	LOC120036616	zinc finger protein 418-like	1	Y	3
gene-LOC120036623	LOC120036623	piggyBac transposable element-derived protein 4-like	1	Y	0
gene-LOC120036647	LOC120036647	choline transporter-like protein 4	1	Y	4
gene-LOC120036648	LOC120036648	uncharacterized LOC120036648	1	Y	5
gene-LOC120036649	LOC120036649	vicilin-like seed storage protein At2g18540	1	Y	0
gene-LOC120036650	LOC120036650	ubiquitin carboxyl-terminal hydrolase 31-like	1	Y	2
gene-LOC120036652	LOC120036652	casein kinase II subunit beta-like	1	Y	4
gene-LOC120036653	LOC120036653	potassium channel subfamily K member 5-like	1	Y	4
gene-LOC120036654	LOC120036654	serum paraoxonase/arylesterase 2-like	1	Y	1
gene-LOC120036656	LOC120036656	serum paraoxonase/arylesterase 2-like	1	Y	1
gene-LOC120036659	LOC120036659	steroid 21-hydroxylase	1	Y	6
gene-LOC120036660	LOC120036660	BTB/POZ domain-containing protein KCTD5-like	1	Y	5
gene-LOC120036671	LOC120036671	mRNA-decapping enzyme 1B-like	1	Y	6
gene-LOC120036678_6			1		0
gene-LOC120036685_1			1		0
gene-LOC120036685_2			1		0
gene-LOC120036686_1			1		0
gene-LOC120036686_2			1		0
gene-LOC120036686_3			1		0
gene-LOC120036686_4			1		0
gene-LOC120036686_5			1		0
gene-LOC120036686_6			1		0
gene-LOC120036686_7			1		0
gene-LOC120036686_8			1		0
gene-LOC120036690	LOC120036690	probable G-protein coupled receptor 146	1	Y	3
gene-LOC120036700	LOC120036700	putative E3 ubiquitin-protein ligase UNKL	1	Y	1
gene-LOC120036704_15			1		0
gene-LOC120036704_16			1		0
gene-LOC120036705_3			1		0
gene-LOC120036705_4			1		0
gene-LOC120036705_5			1		0
gene-LOC120036705_6			1		0
gene-LOC120036705_7			1		0
gene-LOC120036705_8			1		0
gene-LOC120036706_10			1		0
gene-LOC120036706_11			1		0
gene-LOC120036706_12			1		0
gene-LOC120036706_13			1		0
gene-LOC120036706_14			1		0
gene-LOC120036706_15			1		0
gene-LOC120036706_16			1		0
gene-LOC120036706_17			1		0
gene-LOC120036706_18			1		0
gene-LOC120036706_19			1		0
gene-LOC120036706_20			1		0
gene-LOC120036706_21			1		0
gene-LOC120036706_22			1		0
gene-LOC120036706_23			1		0
gene-LOC120036706_24			1		0
gene-LOC120036706_8			1		0
gene-LOC120036706_9			1		0
gene-LOC120036707_2			1		0
gene-LOC120036709_18			1		0
gene-LOC120036709_19			1		0
gene-LOC120036709_20			1		0
gene-LOC120036709_21			1		0
gene-LOC120036709_22			1		0
gene-LOC120036709_23			1		0
gene-LOC120036709_24			1		0
gene-LOC120036709_25			1		0
gene-LOC120036709_26			1		0
gene-LOC120036709_27			1		0
gene-LOC120036709_28			1		0
gene-LOC120036709_29			1		0
gene-LOC120036709_30			1		0
gene-LOC120036709_31			1		0
gene-LOC120036709_32			1		0
gene-LOC120036709_33			1		0
gene-LOC120036712_1			1		0
gene-LOC120036712_2			1		0
gene-LOC120036716_10			1		0
gene-LOC120036716_11			1		0
gene-LOC120036716_12			1		0
gene-LOC120036716_13			1		0
gene-LOC120036716_14			1		0
gene-LOC120036716_15			1		0
gene-LOC120036716_16			1		0
gene-LOC120036716_17			1		0
gene-LOC120036716_18			1		0
gene-LOC120036716_19			1		0
gene-LOC120036716_8			1		0
gene-LOC120036716_9			1		0
gene-LOC120036718_3			1		0
gene-LOC120036718_4			1		0
gene-LOC120036718_5			1		0
gene-LOC120036718_6			1		0
gene-LOC120036724	LOC120036724	insulin-like growth factor-binding protein complex acid labile subunit	1	Y	2
gene-LOC120036733	LOC120036733	myocardin-related transcription factor B-like	1	Y	1
gene-LOC120036740	LOC120036740	dystrophin-like	1	Y	2
gene-LOC120036741	LOC120036741	tensin-like	1	Y	2
gene-LOC120036750	LOC120036750	5.8S ribosomal RNA	1	Y	0
gene-LOC120036751	LOC120036751	18S ribosomal RNA	1	Y	0
gene-LOC120036752	LOC120036752	18S ribosomal RNA	1	Y	0
gene-LOC120036753	LOC120036753	DNA-directed RNA polymerase III subunit RPC10	1	Y	6
gene-LOC120036755	LOC120036755	zinc finger protein 79-like	1	Y	4
gene-LOC120036758	LOC120036758	trichohyalin-like	1	Y	0
gene-LOC120036759	LOC120036759	zinc finger protein 436-like	1	Y	3
gene-LOC120036765	LOC120036765	UBA-like domain-containing protein 1	1	Y	1
gene-LOC120036772	LOC120036772	inactive rhomboid protein 1	1	Y	4
gene-LOC120036780_2			1		0
gene-LOC120036780_3			1		0
gene-LOC120036780_4			1		0
gene-LOC120036805_3			1		0
gene-LOC120036856	LOC120036856	5.8S ribosomal RNA	1	Y	0
gene-LOC120036889_1			1		0
gene-LOC120036891_7			1		0
gene-LOC120036897	LOC120036897	18S ribosomal RNA	1	Y	0
gene-LOC120036920	LOC120036920		1	Y	0
gene-LOC120036925	LOC120036925	microfibril-associated glycoprotein 4-like	1	Y	3
gene-LOC120036935	LOC120036935	5S ribosomal RNA	1	Y	0
gene-LOC120036936_1			1		0
gene-LOC120036936_2			1		0
gene-LOC120036968_1			1		0
gene-LOC120036968_10			1		0
gene-LOC120036968_11			1		0
gene-LOC120036968_12			1		0
gene-LOC120036968_13			1		0
gene-LOC120036968_14			1		0
gene-LOC120036968_15			1		0
gene-LOC120036968_2			1		0
gene-LOC120036968_3			1		0
gene-LOC120036968_4			1		0
gene-LOC120036968_5			1		0
gene-LOC120036968_6			1		0
gene-LOC120036968_7			1		0
gene-LOC120036968_8			1		0
gene-LOC120036968_9			1		0
gene-LOC120036972_1			1		0
gene-LOC120036972_10			1		0
gene-LOC120036972_11			1		0
gene-LOC120036972_2			1		0
gene-LOC120036972_3			1		0
gene-LOC120036972_4			1		0
gene-LOC120036972_5			1		0
gene-LOC120036972_6			1		0
gene-LOC120036972_7			1		0
gene-LOC120036972_8			1		0
gene-LOC120036972_9			1		0
gene-LOC120036973	LOC120036973	hemoglobin subunit beta-like	1	Y	11
gene-LOC120036974_1			1		0
gene-LOC120036974_2			1		0
gene-LOC120036974_3			1		0
gene-LOC120036974_4			1		0
gene-LOC120036974_5			1		0
gene-LOC120036974_6			1		0
gene-LOC120036974_7			1		0
gene-LOC120036975_1			1		0
gene-LOC120036975_2			1		0
gene-LOC120036975_3			1		0
gene-LOC120036975_4			1		0
gene-LOC120036975_5			1		0
gene-LOC120036975_6			1		0
gene-LOC120036975_7			1		0
