gene_id	symbol	product	copies_lean	in_siscowet_unmapped	n_go
gene-LOC120036775	LOC120036775	polysialoglycoprotein-like	1	Y	2
gene-LOC120036776	LOC120036776	polysialoglycoprotein-like	1	Y	0
gene-LOC120036783_1			1		0
gene-LOC120036783_2			1		0
gene-LOC120036783_3			1		0
gene-LOC120036786_1			1		0
gene-LOC120036786_2			1		0
gene-LOC120036786_3			1		0
gene-LOC120036786_4			1		0
gene-LOC120036786_5			1		0
gene-LOC120036786_6			1		0
gene-LOC120036786_7			1		0
gene-LOC120036786_8			1		0
gene-LOC120036786_9			1		0
gene-LOC120036789_3			1		0
gene-LOC120036789_4			1		0
gene-LOC120036789_5			1		0
gene-LOC120036790_1			1		0
gene-LOC120036790_2			1		0
gene-LOC120036791_1			1		0
gene-LOC120036791_2			1		0
gene-LOC120036791_3			1		0
gene-LOC120036791_4			1		0
gene-LOC120036799_1			1		0
gene-LOC120036800_1			1		0
gene-LOC120036801_1			1		0
gene-LOC120036802	LOC120036802	5S ribosomal RNA	1	Y	0
gene-LOC120036804	LOC120036804	5S ribosomal RNA	1	Y	0
gene-LOC120036811_2			1		0
gene-LOC120036811_3			1		0
gene-LOC120036811_4			1		0
gene-LOC120036820	LOC120036820	U1 spliceosomal RNA	1	Y	0
gene-LOC120036824	LOC120036824	U1 spliceosomal RNA	1	Y	0
gene-LOC120036829	LOC120036829	U1 spliceosomal RNA	1	Y	0
gene-LOC120036831	LOC120036831	5S ribosomal RNA	1	Y	0
gene-LOC120036840	LOC120036840	ras-related protein Rab-21	1	Y	3
gene-LOC120036844	LOC120036844	TBC1 domain family member 15-like	1	Y	2
gene-LOC120036859_1			1		0
gene-LOC120036866	LOC120036866	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like	1	Y	1
gene-LOC120036900	LOC120036900	pirin-like	1	Y	3
gene-LOC120036901	LOC120036901	uncharacterized LOC120036901	1	Y	0
gene-LOC120036909	LOC120036909	extensin-2-like	1	Y	0
gene-LOC120036917	LOC120036917	uncharacterized LOC120036917	1	Y	5
gene-LOC120036924	LOC120036924	immunoglobulin lambda-like polypeptide 1	1	Y	6
gene-LOC120036934	LOC120036934	5S ribosomal RNA	1	Y	0
gene-LOC120036948_21			1		0
gene-LOC120036948_22			1		0
gene-LOC120036955	LOC120036955	5S ribosomal RNA	1	Y	0
gene-LOC120036978_25			1		0
gene-LOC120036978_26			1		0
gene-LOC120036978_27			1		0
gene-LOC120036978_28			1		0
gene-LOC120036978_29			1		0
gene-LOC120036978_30			1		0
gene-LOC120036978_31			1		0
gene-LOC120036978_32			1		0
gene-LOC120036978_33			1		0
gene-LOC120036978_34			1		0
gene-LOC120036978_35			1		0
gene-LOC120036978_36			1		0
gene-LOC120036978_37			1		0
gene-LOC120036978_38			1		0
gene-LOC120036978_39			1		0
gene-LOC120036991_10			1		0
gene-LOC120036991_5			1		0
gene-LOC120036991_6			1		0
gene-LOC120036991_7			1		0
gene-LOC120036991_8			1		0
gene-LOC120036991_9			1		0
gene-LOC120036997	LOC120036997	nuclear fragile X mental retardation-interacting protein 1-like	1	Y	3
gene-LOC120037025	LOC120037025	uncharacterized LOC120037025	1	Y	0
gene-LOC120037026	LOC120037026	uncharacterized LOC120037026	1	Y	0
gene-LOC120037028	LOC120037028	uncharacterized LOC120037028	1	Y	0
gene-LOC120037031_1			1		0
gene-LOC120037032_1			1		0
gene-LOC120037054_10			1		0
gene-LOC120037054_11			1		0
gene-LOC120037054_12			1		0
gene-LOC120037054_6			1		0
gene-LOC120037054_7			1		0
gene-LOC120037054_8			1		0
gene-LOC120037054_9			1		0
gene-LOC120037092_6			1		0
gene-LOC120037103	LOC120037103	uncharacterized LOC120037103	1	Y	0
gene-LOC120037120	LOC120037120	ubiquitin thioesterase ZRANB1-like	1	Y	10
gene-LOC120037165	LOC120037165	thymidine phosphorylase-like	1	Y	5
gene-LOC120037169_1			1		0
gene-LOC120037202_1			1		0
gene-LOC120037229	LOC120037229	galanin receptor type 1-like	1	Y	3
gene-LOC120037262	LOC120037262	uromodulin-like	1	Y	0
gene-LOC120037273	LOC120037273	iroquois-class homeodomain protein irx-2-like	1	Y	6
gene-LOC120037283	LOC120037283	retinitis pigmentosa 1-like 1 protein	1	Y	0
gene-LOC120037301_1			1		0
gene-LOC120037323_16			1		0
gene-LOC120037323_17			1		0
gene-LOC120037323_18			1		0
gene-LOC120037336	LOC120037336	myosin-4-like	1	Y	9
gene-LOC120037346	LOC120037346	high affinity choline transporter 1-like	1	Y	5
gene-LOC120037456_4			1		0
gene-LOC120037498	LOC120037498	H-2 class II histocompatibility antigen, E-S beta chain-like	1	Y	8
gene-LOC120037503	LOC120037503	probable methyltransferase TARBP1	1	Y	3
gene-LOC120037504	LOC120037504	FERM domain-containing protein 6-like	1	Y	3
gene-LOC120037590	LOC120037590	ORC ubiquitin ligase 1-like	1	Y	3
gene-LOC120037601	LOC120037601	trichohyalin-like	1	Y	1
gene-LOC120037603	LOC120037603	C-X-C motif chemokine 13-like	2	Y	9
gene-LOC120037603_1			1		0
gene-LOC120037627	LOC120037627	calmegin-like	1	Y	6
gene-LOC120037641_10			1		0
gene-LOC120037641_5			1		0
gene-LOC120037641_6			1		0
gene-LOC120037641_7			1		0
gene-LOC120037641_8			1		0
gene-LOC120037641_9			1		0
gene-LOC120037643_1			1		0
gene-LOC120037644_20			1		0
gene-LOC120037644_21			1		0
gene-LOC120037644_22			1		0
gene-LOC120037644_23			1		0
gene-LOC120037644_24			1		0
gene-LOC120037644_25			1		0
gene-LOC120037644_26			1		0
gene-LOC120037644_27			1		0
gene-LOC120037644_28			1		0
gene-LOC120037644_29			1		0
gene-LOC120037644_30			1		0
gene-LOC120037658	LOC120037658	tyrosine-protein phosphatase non-receptor type 23-like	1	Y	0
gene-LOC120037661	LOC120037661	receptor-type tyrosine-protein phosphatase delta-like	1	Y	3
gene-LOC120037680	LOC120037680	5S ribosomal RNA	1	Y	0
gene-LOC120037696	LOC120037696	5S ribosomal RNA	1	Y	0
gene-LOC120037722	LOC120037722	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog	1	Y	1
gene-LOC120037733	LOC120037733	5S ribosomal RNA	1	Y	0
gene-LOC120037736	LOC120037736	5S ribosomal RNA	1	Y	0
gene-LOC120037744_1			1		0
gene-LOC120037744_10			1		0
gene-LOC120037744_11			1		0
gene-LOC120037744_12			1		0
gene-LOC120037744_13			1		0
gene-LOC120037744_14			1		0
gene-LOC120037744_2			1		0
gene-LOC120037744_3			1		0
gene-LOC120037744_4			1		0
gene-LOC120037744_5			1		0
gene-LOC120037744_6			1		0
gene-LOC120037744_7			1		0
gene-LOC120037744_8			1		0
gene-LOC120037744_9			1		0
gene-LOC120037751	LOC120037751	5S ribosomal RNA	1	Y	0
gene-LOC120037755	LOC120037755	5S ribosomal RNA	1	Y	0
gene-LOC120037762	LOC120037762	ubiquitin-associated domain-containing protein 2-like	1	Y	1
gene-LOC120037790	LOC120037790	NACHT, LRR and PYD domains-containing protein 1 homolog	1	Y	1
gene-LOC120037820	LOC120037820	paired box protein Pax-2-B-like	1	Y	4
gene-LOC120037834	LOC120037834	trichohyalin-like	1	Y	0
gene-LOC120037851	LOC120037851	18S ribosomal RNA	1	Y	0
gene-LOC120037871	LOC120037871	myosin heavy chain, fast skeletal muscle-like	1	Y	4
gene-LOC120037910	LOC120037910	26S proteasome non-ATPase regulatory subunit 13-like	1	Y	5
gene-LOC120037947	LOC120037947	5S ribosomal RNA	1	Y	0
gene-LOC120037955	LOC120037955	5S ribosomal RNA	1	Y	0
gene-LOC120038003	LOC120038003	saxiphilin-like	1	Y	1
gene-LOC120038021	LOC120038021	polysialoglycoprotein-like	1	Y	2
gene-LOC120038024	LOC120038024	polysialoglycoprotein-like	1	Y	2
gene-LOC120038029	LOC120038029	pleckstrin homology domain-containing family A member 8-like	1	Y	7
gene-LOC120038043_1			1		0
gene-LOC120038049	LOC120038049	uncharacterized LOC120038049	1	Y	0
gene-LOC120038050_1			1		0
gene-LOC120038056_1			1		0
gene-LOC120038056_2			1		0
gene-LOC120038069	LOC120038069	dexamethasone-induced Ras-related protein 1-like	1	Y	2
gene-LOC120038074	LOC120038074	5S ribosomal RNA	1	Y	0
gene-LOC120038076	LOC120038076	5S ribosomal RNA	1	Y	0
gene-LOC120038077	LOC120038077	5S ribosomal RNA	1	Y	0
gene-LOC120038079	LOC120038079	5S ribosomal RNA	1	Y	0
gene-LOC120038080	LOC120038080	5S ribosomal RNA	2	Y	0
gene-LOC120038080_1			1		0
gene-LOC120038081	LOC120038081	5S ribosomal RNA	1	Y	0
gene-LOC120038083	LOC120038083	5S ribosomal RNA	1	Y	0
gene-LOC120038084	LOC120038084	5S ribosomal RNA	1	Y	0
gene-LOC120038085	LOC120038085	5S ribosomal RNA	1	Y	0
gene-LOC120038097	LOC120038097	5S ribosomal RNA	1	Y	0
gene-LOC120038107	LOC120038107	5S ribosomal RNA	1	Y	0
gene-LOC120038108	LOC120038108	5S ribosomal RNA	1	Y	0
gene-LOC120038140	LOC120038140	5S ribosomal RNA	1	Y	0
gene-LOC120038141	LOC120038141	5S ribosomal RNA	1	Y	0
gene-LOC120038142	LOC120038142	5S ribosomal RNA	1	Y	0
gene-LOC120038143	LOC120038143	5S ribosomal RNA	1	Y	0
gene-LOC120038146	LOC120038146	5S ribosomal RNA	1	Y	0
gene-LOC120038151	LOC120038151	5S ribosomal RNA	1	Y	0
gene-LOC120038152	LOC120038152	5S ribosomal RNA	1	Y	0
gene-LOC120038153	LOC120038153	5S ribosomal RNA	1	Y	0
gene-LOC120038155	LOC120038155	U1 spliceosomal RNA	1	Y	0
gene-LOC120038169	LOC120038169	5S ribosomal RNA	1	Y	0
gene-LOC120038186_1			1		0
gene-LOC120038192	LOC120038192	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog	1	Y	1
gene-LOC120038225	LOC120038225	5S ribosomal RNA	1	Y	0
gene-LOC120038230	LOC120038230	5S ribosomal RNA	1	Y	0
gene-LOC120038236	LOC120038236	5S ribosomal RNA	1	Y	0
gene-LOC120038238	LOC120038238	5S ribosomal RNA	1	Y	0
gene-LOC120038263	LOC120038263	5S ribosomal RNA	1	Y	0
gene-LOC120038269	LOC120038269	ubiquitin-like modifier-activating enzyme 6	1	Y	3
gene-LOC120038282	LOC120038282	5S ribosomal RNA	1	Y	0
gene-LOC120038283	LOC120038283	5S ribosomal RNA	1	Y	0
gene-LOC120038285	LOC120038285	5S ribosomal RNA	1	Y	0
gene-LOC120038286	LOC120038286	5S ribosomal RNA	1	Y	0
gene-LOC120038287	LOC120038287	5S ribosomal RNA	1	Y	0
gene-LOC120038289	LOC120038289	5S ribosomal RNA	1	Y	0
gene-LOC120038291	LOC120038291	5S ribosomal RNA	1	Y	0
gene-LOC120038292_10			1		0
gene-LOC120038292_11			1		0
gene-LOC120038292_12			1		0
gene-LOC120038292_13			1		0
gene-LOC120038292_14			1		0
gene-LOC120038292_15			1		0
gene-LOC120038292_16			1		0
gene-LOC120038292_17			1		0
gene-LOC120038292_18			1		0
gene-LOC120038292_3			1		0
gene-LOC120038292_4			1		0
gene-LOC120038292_5			1		0
gene-LOC120038292_6			1		0
gene-LOC120038292_7			1		0
gene-LOC120038292_8			1		0
gene-LOC120038292_9			1		0
gene-LOC120038300	LOC120038300	5S ribosomal RNA	1	Y	0
gene-LOC120038316	LOC120038316	5S ribosomal RNA	1	Y	0
gene-LOC120038349	LOC120038349	variant surface antigen E-like	1	Y	0
gene-LOC120038357_1			1		0
gene-LOC120038357_10			1		0
gene-LOC120038357_11			1		0
gene-LOC120038357_12			1		0
gene-LOC120038357_13			1		0
gene-LOC120038357_14			1		0
gene-LOC120038357_15			1		0
gene-LOC120038357_16			1		0
gene-LOC120038357_17			1		0
gene-LOC120038357_18			1		0
gene-LOC120038357_19			1		0
gene-LOC120038357_2			1		0
gene-LOC120038357_20			1		0
gene-LOC120038357_21			1		0
gene-LOC120038357_22			1		0
gene-LOC120038357_23			1		0
gene-LOC120038357_24			1		0
gene-LOC120038357_25			1		0
gene-LOC120038357_26			1		0
gene-LOC120038357_27			1		0
gene-LOC120038357_28			1		0
gene-LOC120038357_29			1		0
gene-LOC120038357_3			1		0
gene-LOC120038357_4			1		0
gene-LOC120038357_5			1		0
gene-LOC120038357_6			1		0
gene-LOC120038357_7			1		0
gene-LOC120038357_8			1		0
gene-LOC120038357_9			1		0
gene-LOC120038363_1			1		0
gene-LOC120038363_2			1		0
gene-LOC120038363_3			1		0
gene-LOC120038363_4			1		0
gene-LOC120038364_1			1		0
gene-LOC120038364_2			1		0
gene-LOC120038364_3			1		0
gene-LOC120038374	LOC120038374	serine/threonine-protein kinase PAK 2-like	1	Y	1
gene-LOC120038387	LOC120038387	early growth response protein 2b-like	1	Y	3
gene-LOC120038426	LOC120038426	multidrug resistance-associated protein 1-like	1	Y	7
gene-LOC120038435	LOC120038435	5S ribosomal RNA	1	Y	0
gene-LOC120038436	LOC120038436	5S ribosomal RNA	1	Y	0
gene-LOC120038438	LOC120038438	5S ribosomal RNA	1	Y	0
gene-LOC120038439	LOC120038439	5S ribosomal RNA	1	Y	0
gene-LOC120038442	LOC120038442	5S ribosomal RNA	1	Y	0
gene-LOC120038445_1			1		0
gene-LOC120038467	LOC120038467	5S ribosomal RNA	1	Y	0
gene-LOC120038502	LOC120038502	disintegrin and metalloproteinase domain-containing protein 9-like	1	Y	1
gene-LOC120038511	LOC120038511	zinc finger protein Pegasus-like	1	Y	3
gene-LOC120038521_1			1		0
gene-LOC120038523	LOC120038523	perforin-1-like	1	Y	0
gene-LOC120038524	LOC120038524	cytosolic phospholipase A2-like	1	Y	0
gene-LOC120038525	LOC120038525	cytosolic phospholipase A2-like	1	Y	0
gene-LOC120038576	LOC120038576	ATP-dependent RNA helicase DDX39A-like	1	Y	5
gene-LOC120038582	LOC120038582	thioredoxin, mitochondrial-like	1	Y	3
gene-LOC120038592	LOC120038592	involucrin-like	1	Y	0
gene-LOC120038593	LOC120038593	myosin-9-like	1	Y	4
gene-LOC120038597	LOC120038597	5S ribosomal RNA	1	Y	0
gene-LOC120038599	LOC120038599	5S ribosomal RNA	1	Y	0
gene-LOC120038603	LOC120038603	5S ribosomal RNA	1	Y	0
gene-LOC120038604	LOC120038604	5S ribosomal RNA	1	Y	0
gene-LOC120038605	LOC120038605	5S ribosomal RNA	1	Y	0
gene-LOC120038619	LOC120038619	mitochondrial glycine transporter B-like	1	Y	4
gene-LOC120038628	LOC120038628	5S ribosomal RNA	1	Y	0
gene-LOC120038648	LOC120038648	major histocompatibility complex class I-related gene protein-like	1	Y	3
gene-LOC120038656	LOC120038656	ubinuclein-2-like	1	Y	1
gene-LOC120038658	LOC120038658	CMRF35-like molecule 5	1	Y	0
gene-LOC120038680	LOC120038680	isthmin-1-like	1	Y	1
gene-LOC120038688	LOC120038688	telomerase RNA component interacting RNase-like	1	Y	2
gene-LOC120038696	LOC120038696	F-box/LRR-repeat protein 16	1	Y	3
gene-LOC120038700	LOC120038700	protein Hook homolog 2-like	1	Y	6
gene-LOC120038739	LOC120038739	cysteine protease ATG4D-like	1	Y	1
gene-LOC120038741	LOC120038741	5.8S ribosomal RNA	1	Y	0
gene-LOC120038744	LOC120038744	myosin heavy chain, fast skeletal muscle-like	1	Y	4
gene-LOC120038749	LOC120038749	transcription activator BRG1	1	Y	7
gene-LOC120038782	LOC120038782	5S ribosomal RNA	1	Y	0
gene-LOC120038786	LOC120038786	5S ribosomal RNA	1	Y	0
gene-LOC120038813	LOC120038813	5S ribosomal RNA	1	Y	0
gene-LOC120038814	LOC120038814	5S ribosomal RNA	1	Y	0
gene-LOC120038816	LOC120038816	5S ribosomal RNA	1	Y	0
gene-LOC120038817	LOC120038817	5S ribosomal RNA	1	Y	0
gene-LOC120038818	LOC120038818	5S ribosomal RNA	1	Y	0
gene-LOC120038819	LOC120038819	5S ribosomal RNA	1	Y	0
gene-LOC120038820	LOC120038820	5S ribosomal RNA	1	Y	0
gene-LOC120038821	LOC120038821	5S ribosomal RNA	1	Y	0
gene-LOC120038831_1			1		0
gene-LOC120038831_2			1		0
gene-LOC120038831_3			1		0
gene-LOC120038831_4			1		0
gene-LOC120038831_5			1		0
gene-LOC120038831_6			1		0
gene-LOC120038842	LOC120038842	5S ribosomal RNA	1	Y	0
gene-LOC120038853	LOC120038853	low-density lipoprotein receptor-like	1	Y	2
gene-LOC120038866	LOC120038866	protein KRI1 homolog	1	Y	3
gene-LOC120038875	LOC120038875	sphingosine 1-phosphate receptor 1-like	1	Y	3
gene-LOC120038887	LOC120038887	kinetochore protein Spc24-like	1	Y	0
gene-LOC120039042_1			1		0
gene-LOC120039042_2			1		0
gene-LOC120039042_3			1		0
gene-LOC120039042_4			1		0
gene-LOC120039044_5			1		0
gene-LOC120039044_6			1		0
gene-LOC120039044_7			1		0
gene-LOC120039073	LOC120039073	UPF0462 protein C4orf33 homolog	1	Y	0
gene-LOC120039074	LOC120039074	sodium channel and clathrin linker 1-like	1	Y	3
gene-LOC120039075	LOC120039075	uncharacterized LOC120039075	1	Y	0
gene-LOC120039091	LOC120039091	18S ribosomal RNA	1	Y	0
gene-LOC120039093	LOC120039093	galactose-specific lectin nattectin-like	1	Y	1
gene-LOC120039145	LOC120039145	acidic amino acid decarboxylase GADL1-like	1	Y	4
gene-LOC120039146	LOC120039146	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1-B	1	Y	1
gene-LOC120039150	LOC120039150	solute carrier family 22 member 18-like	1	Y	2
gene-LOC120039153	LOC120039153	CMRF35-like molecule 6	1	Y	0
gene-LOC120039166	LOC120039166	ornithine aminotransferase, mitochondrial-like	1	Y	6
gene-LOC120039173	LOC120039173	5S ribosomal RNA	1	Y	0
gene-LOC120039176	LOC120039176	5S ribosomal RNA	1	Y	0
gene-LOC120039177	LOC120039177	5S ribosomal RNA	1	Y	0
gene-LOC120039178	LOC120039178	5S ribosomal RNA	1	Y	0
gene-LOC120039193	LOC120039193	5S ribosomal RNA	1	Y	0
gene-LOC120039202	LOC120039202	NTPase KAP family P-loop domain-containing protein 1-like	1	Y	0
gene-LOC120039205	LOC120039205	zinc finger protein OZF-like	1	Y	2
gene-LOC120039206	LOC120039206	zinc finger protein 239-like	1	Y	5
gene-LOC120039242	LOC120039242	5S ribosomal RNA	1	Y	0
gene-LOC120039243	LOC120039243	5S ribosomal RNA	1	Y	0
gene-LOC120039247	LOC120039247	5S ribosomal RNA	1	Y	0
gene-LOC120039248	LOC120039248	U1 spliceosomal RNA	1	Y	0
gene-LOC120039249_10			1		0
gene-LOC120039249_11			1		0
gene-LOC120039249_8			1		0
gene-LOC120039249_9			1		0
gene-LOC120039291	LOC120039291	KH homology domain-containing protein 4-like	1	Y	2
gene-LOC120039332	LOC120039332	5S ribosomal RNA	1	Y	0
gene-LOC120039383	LOC120039383	uncharacterized LOC120039383	1	Y	0
gene-LOC120039384	LOC120039384	uncharacterized LOC120039384	1	Y	0
gene-LOC120039387	LOC120039387	transport and Golgi organization protein 1 homolog	1	Y	5
gene-LOC120039403	LOC120039403	5S ribosomal RNA	1	Y	0
gene-LOC120039406	LOC120039406	5S ribosomal RNA	1	Y	0
gene-LOC120039428	LOC120039428	5.8S ribosomal RNA	1	Y	0
gene-LOC120039430	LOC120039430	18S ribosomal RNA	1	Y	0
gene-LOC120039460_4			1		0
gene-LOC120039460_5			1		0
gene-LOC120039460_6			1		0
gene-LOC120039464	LOC120039464	saxiphilin-like	1	Y	3
gene-LOC120039518	LOC120039518	calcium-independent phospholipase A2-gamma-like	1	Y	3
gene-LOC120039525	LOC120039525	zinc finger protein 239-like	1	Y	1
gene-LOC120039533	LOC120039533	uncharacterized LOC120039533	1	Y	0
gene-LOC120039554	LOC120039554	zinc finger protein 14-like	1	Y	0
gene-LOC120039569	LOC120039569	tubulin beta-4B chain-like	1	Y	8
gene-LOC120039573	LOC120039573	nerve growth factor-like	1	Y	11
gene-LOC120039582_1			1		0
gene-LOC120039582_2			1		0
gene-LOC120039583	LOC120039583	ubiquitin carboxyl-terminal hydrolase 25-like	1	Y	0
gene-LOC120039592	LOC120039592	18S ribosomal RNA	1	Y	0
gene-LOC120039598	LOC120039598	choline transporter-like protein 4	1	Y	4
gene-LOC120039599	LOC120039599	uncharacterized LOC120039599	1	Y	5
gene-LOC120039604	LOC120039604	casein kinase II subunit beta-like	1	Y	4
gene-LOC120039609	LOC120039609	steroid 17-alpha-hydroxylase/17,20 lyase-like	1	Y	4
gene-LOC120039613_6			1		0
gene-LOC120039613_7			1		0
gene-LOC120039618	LOC120039618	5.8S ribosomal RNA	1	Y	0
gene-LOC120039623	LOC120039623	collectin-10-like	1	Y	0
gene-LOC120039646	LOC120039646	18S ribosomal RNA	1	Y	0
gene-LOC120039669	LOC120039669	transport and Golgi organization protein 1 homolog	1	Y	6
gene-LOC120039671	LOC120039671	eukaryotic translation initiation factor 2 subunit 1-like	1	Y	7
gene-LOC120039706	LOC120039706	protein phosphatase 1 regulatory subunit 29-like	1	Y	2
gene-LOC120039710	LOC120039710	cysteine-rich protein 2-like	1	Y	3
gene-LOC120039718	LOC120039718	lysozyme g-like	1	Y	4
gene-LOC120039738	LOC120039738	serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform-like	1	Y	5
gene-LOC120039749_2			1		0
gene-LOC120039749_3			1		0
gene-LOC120039749_4			1		0
gene-LOC120039749_5			1		0
gene-LOC120039755_1			1		0
gene-LOC120039783	LOC120039783	zinc finger protein 271-like	1	Y	0
gene-LOC120039787	LOC120039787	zinc finger protein 850-like	1	Y	0
gene-LOC120039805	LOC120039805	uncharacterized LOC120039805	1	Y	0
gene-LOC120039851	LOC120039851	5S ribosomal RNA	1	Y	0
gene-LOC120039854	LOC120039854	5S ribosomal RNA	1	Y	0
gene-LOC120039857	LOC120039857	5S ribosomal RNA	1	Y	0
gene-LOC120039874	LOC120039874	5S ribosomal RNA	1	Y	0
gene-LOC120039888	LOC120039888	5S ribosomal RNA	1	Y	0
gene-LOC120039896	LOC120039896	5S ribosomal RNA	1	Y	0
gene-LOC120039906	LOC120039906	acidic amino acid decarboxylase GADL1-like	1	Y	4
gene-LOC120039924	LOC120039924	shaker-related potassium channel tsha2-like	1	Y	6
gene-LOC120039944	LOC120039944	cysteine-rich protein 2-like	1	Y	3
gene-LOC120039945	LOC120039945	adenylate cyclase type 9-like	1	Y	4
gene-LOC120040019	LOC120040019	E3 ubiquitin-protein ligase RNF128-like	1	Y	2
gene-LOC120040105_18			1		0
gene-LOC120040105_19			1		0
gene-LOC120040105_20			1		0
gene-LOC120040105_21			1		0
gene-LOC120040105_22			1		0
gene-LOC120040125	LOC120040125	1-phosphatidylinositol phosphodiesterase-like	1	Y	2
gene-LOC120040174	LOC120040174	NEDD4-binding protein 3-A-like	1	Y	1
gene-LOC120040176_1			1		0
gene-LOC120040197	LOC120040197	potassium voltage-gated channel subfamily KQT member 1-like	1	Y	5
gene-LOC120040198	LOC120040198	transient receptor potential cation channel subfamily M member 5-like	1	Y	4
gene-LOC120040247	LOC120040247	5S ribosomal RNA	1	Y	0
gene-LOC120040282	LOC120040282	homeobox protein Hox-A9b-like	1	Y	8
gene-LOC120040285	LOC120040285	polysialoglycoprotein-like	1	Y	0
gene-LOC120040293	LOC120040293	polysialoglycoprotein-like	1	Y	0
gene-LOC120040300	LOC120040300	homeobox protein Hox-A11b-like	1	Y	5
gene-LOC120040302	LOC120040302	homeobox protein Hox-A10b-like	1	Y	4
gene-LOC120040334_2			1		0
gene-LOC120040334_3			1		0
gene-LOC120040337_1			1		0
gene-LOC120040337_2			1		0
gene-LOC120040337_3			1		0
gene-LOC120040337_4			1		0
gene-LOC120040358	LOC120040358	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4	1	Y	2
gene-LOC120040364	LOC120040364	uncharacterized LOC120040364	1	Y	5
gene-LOC120040365	LOC120040365	5S ribosomal RNA	1	Y	0
gene-LOC120040371	LOC120040371	U1 spliceosomal RNA	1	Y	0
gene-LOC120040374	LOC120040374	5S ribosomal RNA	1	Y	0
gene-LOC120040380	LOC120040380	5S ribosomal RNA	1	Y	0
gene-LOC120040381	LOC120040381	5S ribosomal RNA	1	Y	0
gene-LOC120040395	LOC120040395	fibrillin-1-like	1	Y	1
gene-LOC120040404_1			1		0
gene-LOC120040405_1			1		0
gene-LOC120040407_1			1		0
gene-LOC120040408_1			1		0
gene-LOC120040409_1			1		0
gene-LOC120040410_1			1		0
gene-LOC120040411_1			1		0
gene-LOC120040413_1			1		0
gene-LOC120040416	LOC120040416	complement C1q-like protein 2	1	Y	1
gene-LOC120040432_2			1		0
gene-LOC120040432_3			1		0
gene-LOC120040432_4			1		0
gene-LOC120040433_10			1		0
gene-LOC120040433_11			1		0
gene-LOC120040433_12			1		0
gene-LOC120040433_13			1		0
gene-LOC120040433_14			1		0
gene-LOC120040433_15			1		0
gene-LOC120040433_16			1		0
gene-LOC120040433_17			1		0
gene-LOC120040433_18			1		0
gene-LOC120040433_2			1		0
gene-LOC120040433_3			1		0
gene-LOC120040433_4			1		0
gene-LOC120040433_5			1		0
gene-LOC120040433_6			1		0
gene-LOC120040433_7			1		0
gene-LOC120040433_8			1		0
gene-LOC120040433_9			1		0
gene-LOC120040435	LOC120040435	U1 spliceosomal RNA	1	Y	0
gene-LOC120040440	LOC120040440	5S ribosomal RNA	1	Y	0
gene-LOC120040445_2			1		0
gene-LOC120040447	LOC120040447	5S ribosomal RNA	1	Y	0
gene-LOC120040457	LOC120040457	progesterone-induced-blocking factor 1-like	1	Y	2
gene-LOC120040475	LOC120040475	axin-1-like	1	Y	1
gene-LOC120040483_1			1		0
gene-LOC120040486_1			1		0
gene-LOC120040486_2			1		0
gene-LOC120040494	LOC120040494	5S ribosomal RNA	5	Y	0
gene-LOC120040494_1			1		0
gene-LOC120040494_2			1		0
gene-LOC120040494_3			1		0
gene-LOC120040494_4			1		0
gene-LOC120040507_1			1		0
gene-LOC120040511	LOC120040511	F-box/LRR-repeat protein 18-like	1	Y	2
gene-LOC120040525_1			1		0
gene-LOC120040525_2			1		0
gene-LOC120040526_1			1		0
gene-LOC120040531	LOC120040531	5S ribosomal RNA	1	Y	0
gene-LOC120040533	LOC120040533	5S ribosomal RNA	1	Y	0
gene-LOC120040534_1			1		0
gene-LOC120040534_2			1		0
gene-LOC120040535_1			1		0
gene-LOC120040535_2			1		0
gene-LOC120040535_3			1		0
gene-LOC120040535_4			1		0
gene-LOC120040542_1			1		0
gene-LOC120040542_2			1		0
gene-LOC120040542_3			1		0
gene-LOC120040542_4			1		0
gene-LOC120040542_5			1		0
gene-LOC120040542_6			1		0
gene-LOC120040550	LOC120040550	5S ribosomal RNA	1	Y	0
gene-LOC120040557	LOC120040557	NF-X1-type zinc finger protein NFXL1-like	1	Y	0
gene-LOC120040583_1			1		0
gene-LOC120040583_10			1		0
gene-LOC120040583_11			1		0
gene-LOC120040583_12			1		0
gene-LOC120040583_13			1		0
gene-LOC120040583_14			1		0
gene-LOC120040583_15			1		0
gene-LOC120040583_2			1		0
gene-LOC120040583_3			1		0
gene-LOC120040583_4			1		0
gene-LOC120040583_5			1		0
gene-LOC120040583_6			1		0
gene-LOC120040583_7			1		0
gene-LOC120040583_8			1		0
gene-LOC120040583_9			1		0
gene-LOC120040592	LOC120040592	5S ribosomal RNA	1	Y	0
gene-LOC120040620	LOC120040620	5.8S ribosomal RNA	1	Y	0
gene-LOC120040628	LOC120040628	voltage-dependent calcium channel gamma-5 subunit	1	Y	11
gene-LOC120040629	LOC120040629	putative short-chain dehydrogenase/reductase family 42E member 2	1	Y	2
gene-LOC120040658_10			1		0
gene-LOC120040658_11			1		0
