Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,strain,tissue
SRR3321258,RNA-Seq,36,135753624,PRJNA316738,SAMN04590682,Model organism or animal,102782939,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",adult,Lean parasitized,SRX1674174,Illumina Genome Analyzer IIx,PLL31_R3,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PLL,pooled male and female,SRP072750,1,Liver
SRR3321259,RNA-Seq,36,228151008,PRJNA316738,SAMN04590682,Model organism or animal,172487431,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",adult,Lean parasitized,SRX1674175,Illumina Genome Analyzer IIx,PLL43_R3,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PLL,pooled male and female,SRP072750,1,Liver
SRR3321260,RNA-Seq,36,258891228,PRJNA316738,SAMN04590682,Model organism or animal,197844262,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",adult,Lean parasitized,SRX1674176,Illumina Genome Analyzer IIx,PLL55_R3,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PLL,pooled male and female,SRP072750,1,Liver
SRR3321261,RNA-Seq,36,244120824,PRJNA316738,SAMN04590682,Model organism or animal,186764802,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",adult,Lean parasitized,SRX1674177,Illumina Genome Analyzer IIx,PLL59_R3,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PLL,pooled male and female,SRP072750,1,Liver
SRR3321262,RNA-Seq,36,232910280,PRJNA316738,SAMN04590682,Model organism or animal,176507014,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",adult,Lean parasitized,SRX1674178,Illumina Genome Analyzer IIx,PLL62_R3,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PLL,pooled male and female,SRP072750,1,Liver
SRR3321263,RNA-Seq,36,289886976,PRJNA316738,SAMN04590684,Model organism or animal,219240618,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",adult,Siscowet parasitized,SRX1674179,Illumina Genome Analyzer IIx,PSL13_R3,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PSL,pooled male and female,SRP072750,3,Liver
SRR3321264,RNA-Seq,36,325826424,PRJNA316738,SAMN04590684,Model organism or animal,247369292,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",adult,Siscowet parasitized,SRX1674180,Illumina Genome Analyzer IIx,PSL16_R3,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PSL,pooled male and female,SRP072750,3,Liver
SRR3321265,RNA-Seq,36,234369144,PRJNA316738,SAMN04590684,Model organism or animal,177582135,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",adult,Siscowet parasitized,SRX1674181,Illumina Genome Analyzer IIx,PSL35_R3,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PSL,pooled male and female,SRP072750,3,Liver
SRR3321266,RNA-Seq,36,205382124,PRJNA316738,SAMN04590684,Model organism or animal,157310348,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",adult,Siscowet parasitized,SRX1674182,Illumina Genome Analyzer IIx,PSL49_R3,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PSL,pooled male and female,SRP072750,3,Liver
SRR3321267,RNA-Seq,36,191687724,PRJNA316738,SAMN04590685,Model organism or animal,145501720,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",adult,Sicowet nonparasitized,SRX1674183,Illumina Genome Analyzer IIx,NPSL24_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,NPSL,pooled male and female,SRP072750,4,Liver
SRR3321268,RNA-Seq,36,372255948,PRJNA316738,SAMN04590684,Model organism or animal,281287238,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",adult,Siscowet parasitized,SRX1674184,Illumina Genome Analyzer IIx,PSL53_R3,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PSL,pooled male and female,SRP072750,3,Liver
SRR3321269,RNA-Seq,36,348669684,PRJNA316738,SAMN04590684,Model organism or animal,263904099,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",adult,Siscowet parasitized,SRX1674185,Illumina Genome Analyzer IIx,PSL63_R3,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PSL,pooled male and female,SRP072750,3,Liver
SRR3321270,RNA-Seq,36,178958448,PRJNA316738,SAMN04590685,Model organism or animal,135720385,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",adult,Sicowet nonparasitized,SRX1674186,Illumina Genome Analyzer IIx,NPSL29_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,NPSL,pooled male and female,SRP072750,4,Liver
SRR3321271,RNA-Seq,36,429339996,PRJNA316738,SAMN04590685,Model organism or animal,325700515,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",adult,Sicowet nonparasitized,SRX1674187,Illumina Genome Analyzer IIx,NPSL36_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,NPSL,pooled male and female,SRP072750,4,Liver
