comparison	chr_a	chr_b	anchors
reference_vs_lean	lnptg003649l1	rfNC0523271	19
reference_vs_lean	lnptg004386l1	rfNC0523301	19
reference_vs_lean	lnptg004588l1	rfNC0523081	19
reference_vs_lean	lnptg005215l1	rfNC0523371	19
reference_vs_lean	lnptg006459l1	rfNC0523371	19
reference_vs_lean	lnptg008107l1	rfNC0523221	19
reference_vs_lean	lnptg017584l1	rfNC0523301	19
reference_vs_lean	lnptg000007l1	rfNC0523291	18
reference_vs_lean	lnptg000085l1	rfNC0523081	18
reference_vs_lean	lnptg000105l1	rfNC0523291	18
reference_vs_lean	lnptg000110l1	rfNC0523141	18
reference_vs_lean	lnptg000203l1	rfNC0523321	18
reference_vs_lean	lnptg000313l1	rfNC0523471	18
reference_vs_lean	lnptg000675l1	rfNC0523311	18
reference_vs_lean	lnptg000700l1	rfNC0523241	18
reference_vs_lean	lnptg000864l1	rfNC0523091	18
reference_vs_lean	lnptg000875l1	rfNC0523321	18
reference_vs_lean	lnptg000886l1	rfNC0523331	18
reference_vs_lean	lnptg000893l1	rfNC0523271	18
reference_vs_lean	lnptg000930l1	rfNC0523101	18
reference_vs_lean	lnptg000960l1	rfNC0523271	18
reference_vs_lean	lnptg001021l1	rfNC0523091	18
reference_vs_lean	lnptg001150l1	rfNC0523201	18
reference_vs_lean	lnptg001378l1	rfNC0523361	18
reference_vs_lean	lnptg001587l1	rfNC0523071	18
reference_vs_lean	lnptg001654l1	rfNC0523461	18
reference_vs_lean	lnptg001863l1	rfNC0523171	18
reference_vs_lean	lnptg001882l1	rfNC0523211	18
reference_vs_lean	lnptg002057l1	rfNC0523381	18
reference_vs_lean	lnptg002065l1	rfNC0523171	18
reference_vs_lean	lnptg002173l1	rfNC0523181	18
reference_vs_lean	lnptg002228l1	rfNC0523151	18
reference_vs_lean	lnptg002313l1	rfNC0523401	18
reference_vs_lean	lnptg002372l1	rfNC0523451	18
reference_vs_lean	lnptg002591l1	rfNC0523131	18
reference_vs_lean	lnptg002911l1	rfNC0523091	18
reference_vs_lean	lnptg003084l1	rfNC0523171	18
reference_vs_lean	lnptg003358l1	rfNC0523361	18
reference_vs_lean	lnptg003377l1	rfNW0240608341	18
reference_vs_lean	lnptg003635l1	rfNC0523211	18
reference_vs_lean	lnptg003807l1	rfNC0523331	18
reference_vs_lean	lnptg003838l1	rfNC0523101	18
reference_vs_lean	lnptg003875l1	rfNC0523411	18
reference_vs_lean	lnptg004031l1	rfNC0523191	18
reference_vs_lean	lnptg004468l1	rfNC0523341	18
reference_vs_lean	lnptg004619l1	rfNC0523251	18
reference_vs_lean	lnptg005159l1	rfNC0523241	18
reference_vs_lean	lnptg005515l1	rfNC0523351	18
reference_vs_lean	lnptg006374l1	rfNC0523451	18
reference_vs_lean	lnptg006686l1	rfNC0523111	18
reference_vs_lean	lnptg006810l1	rfNC0523311	18
reference_vs_lean	lnptg000081l1	rfNC0523351	17
reference_vs_lean	lnptg000175l1	rfNC0523191	17
reference_vs_lean	lnptg000206l1	rfNC0523351	17
reference_vs_lean	lnptg000238l1	rfNC0523301	17
reference_vs_lean	lnptg000252l1	rfNC0523171	17
reference_vs_lean	lnptg000475l1	rfNC0523161	17
reference_vs_lean	lnptg000489l1	rfNC0523121	17
reference_vs_lean	lnptg000493l1	rfNC0523311	17
reference_vs_lean	lnptg000588l1	rfNC0523361	17
reference_vs_lean	lnptg000626l1	rfNC0523101	17
reference_vs_lean	lnptg000709l1	rfNC0523241	17
reference_vs_lean	lnptg000737l1	rfNC0523291	17
reference_vs_lean	lnptg000758l1	rfNC0523211	17
reference_vs_lean	lnptg000773l1	rfNC0523381	17
reference_vs_lean	lnptg000839l1	rfNC0523181	17
reference_vs_lean	lnptg000860l1	rfNC0523341	17
reference_vs_lean	lnptg000943l1	rfNC0523091	17
reference_vs_lean	lnptg001019l1	rfNC0523101	17
reference_vs_lean	lnptg001150l1	rfNC0523401	17
reference_vs_lean	lnptg001151l1	rfNC0523211	17
reference_vs_lean	lnptg001173l1	rfNC0523321	17
reference_vs_lean	lnptg001231l1	rfNC0523291	17
reference_vs_lean	lnptg001364l1	rfNC0523411	17
reference_vs_lean	lnptg001371l1	rfNC0523091	17
reference_vs_lean	lnptg001438l1	rfNC0523281	17
reference_vs_lean	lnptg001749l1	rfNC0523331	17
reference_vs_lean	lnptg001810l1	rfNC0523131	17
reference_vs_lean	lnptg001840l1	rfNC0523181	17
reference_vs_lean	lnptg002022l1	rfNC0523371	17
reference_vs_lean	lnptg002060l1	rfNC0523201	17
reference_vs_lean	lnptg002117l1	rfNC0523081	17
reference_vs_lean	lnptg002249l1	rfNC0523241	17
reference_vs_lean	lnptg002319l1	rfNC0523391	17
reference_vs_lean	lnptg002537l1	rfNC0523291	17
reference_vs_lean	lnptg002649l1	rfNC0523381	17
reference_vs_lean	lnptg002669l1	rfNC0523291	17
reference_vs_lean	lnptg002872l1	rfNC0523221	17
reference_vs_lean	lnptg003233l1	rfNC0523101	17
reference_vs_lean	lnptg003303l1	rfNC0523351	17
reference_vs_lean	lnptg003426l1	rfNC0523261	17
reference_vs_lean	lnptg003501l1	rfNC0523141	17
reference_vs_lean	lnptg003629l1	rfNC0523371	17
reference_vs_lean	lnptg003834l1	rfNC0523301	17
reference_vs_lean	lnptg003843l1	rfNC0523321	17
reference_vs_lean	lnptg003847l1	rfNC0523261	17
reference_vs_lean	lnptg004055l1	rfNC0523071	17
reference_vs_lean	lnptg004523l1	rfNC0523351	17
reference_vs_lean	lnptg004732l1	rfNC0523261	17
reference_vs_lean	lnptg005364l1	rfNC0523111	17
reference_vs_lean	lnptg008137l1	rfNC0523171	17
reference_vs_lean	lnptg016128l1	rfNC0523091	17
reference_vs_lean	lnptg000103l1	rfNC0523291	16
reference_vs_lean	lnptg000148l1	rfNC0523091	16
reference_vs_lean	lnptg000312l1	rfNC0523261	16
reference_vs_lean	lnptg000357l1	rfNC0523111	16
reference_vs_lean	lnptg000417l1	rfNC0523151	16
reference_vs_lean	lnptg000559l1	rfNC0523411	16
reference_vs_lean	lnptg000600l1	rfNC0523131	16
reference_vs_lean	lnptg000625l1	rfNC0523071	16
reference_vs_lean	lnptg000655l1	rfNC0523401	16
reference_vs_lean	lnptg000673l1	rfNC0523481	16
reference_vs_lean	lnptg000888l1	rfNC0523101	16
reference_vs_lean	lnptg001087l1	rfNC0523221	16
reference_vs_lean	lnptg001088l1	rfNC0523071	16
reference_vs_lean	lnptg001192l1	rfNC0523341	16
reference_vs_lean	lnptg001198l1	rfNC0523151	16
reference_vs_lean	lnptg001259l1	rfNC0523141	16
reference_vs_lean	lnptg001301l1	rfNC0523131	16
reference_vs_lean	lnptg001583l1	rfNC0523401	16
reference_vs_lean	lnptg001605l1	rfNC0523171	16
reference_vs_lean	lnptg001800l1	rfNC0523301	16
reference_vs_lean	lnptg001940l1	rfNC0523071	16
reference_vs_lean	lnptg002030l1	rfNC0523141	16
reference_vs_lean	lnptg002035l1	rfNC0523371	16
reference_vs_lean	lnptg002322l1	rfNC0523291	16
reference_vs_lean	lnptg002360l1	rfNC0523261	16
reference_vs_lean	lnptg002363l1	rfNC0523311	16
reference_vs_lean	lnptg002383l1	rfNC0523101	16
reference_vs_lean	lnptg002870l1	rfNC0523361	16
reference_vs_lean	lnptg002914l1	rfNC0523281	16
reference_vs_lean	lnptg002959l1	rfNC0523331	16
reference_vs_lean	lnptg003383l1	rfNC0523191	16
reference_vs_lean	lnptg003465l1	rfNC0523461	16
reference_vs_lean	lnptg003544l1	rfNC0523191	16
reference_vs_lean	lnptg003617l1	rfNC0523101	16
reference_vs_lean	lnptg003650l1	rfNC0523201	16
reference_vs_lean	lnptg003725l1	rfNC0523361	16
reference_vs_lean	lnptg003956l1	rfNC0523091	16
reference_vs_lean	lnptg004696l1	rfNC0523081	16
reference_vs_lean	lnptg004726l1	rfNC0523291	16
reference_vs_lean	lnptg004864l1	rfNW0240581681	16
reference_vs_lean	lnptg005494l1	rfNC0523131	16
reference_vs_lean	lnptg005892l1	rfNC0523181	16
reference_vs_lean	lnptg006090l1	rfNC0523431	16
reference_vs_lean	lnptg006744l1	rfNC0523401	16
reference_vs_lean	lnptg008961l1	rfNW0240592601	16
reference_vs_lean	lnptg025942l1	rfNW0240577961	16
reference_vs_lean	lnptg000102l1	rfNC0523391	15
reference_vs_lean	lnptg000190l1	rfNC0523251	15
reference_vs_lean	lnptg000258l1	rfNC0523231	15
reference_vs_lean	lnptg000259l1	rfNC0523381	15
reference_vs_lean	lnptg000623l1	rfNC0523241	15
reference_vs_lean	lnptg000821l1	rfNC0523181	15
reference_vs_lean	lnptg000841l1	rfNC0523291	15
reference_vs_lean	lnptg000891l1	rfNC0523091	15
reference_vs_lean	lnptg000907l1	rfNC0523481	15
reference_vs_lean	lnptg000924l1	rfNC0523221	15
reference_vs_lean	lnptg001007l1	rfNC0523141	15
reference_vs_lean	lnptg001068l1	rfNC0523471	15
reference_vs_lean	lnptg001196l1	rfNC0523301	15
reference_vs_lean	lnptg001252l1	rfNC0523371	15
reference_vs_lean	lnptg001304l1	rfNC0523411	15
reference_vs_lean	lnptg001329l1	rfNC0523461	15
reference_vs_lean	lnptg001348l1	rfNC0523411	15
reference_vs_lean	lnptg001425l1	rfNC0523091	15
reference_vs_lean	lnptg001574l1	rfNC0523151	15
reference_vs_lean	lnptg001592l1	rfNC0523071	15
reference_vs_lean	lnptg001681l1	rfNC0523341	15
reference_vs_lean	lnptg001770l1	rfNC0523421	15
reference_vs_lean	lnptg002101l1	rfNC0523311	15
reference_vs_lean	lnptg002242l1	rfNC0523131	15
reference_vs_lean	lnptg002379l1	rfNC0523251	15
reference_vs_lean	lnptg002536l1	rfNC0523081	15
reference_vs_lean	lnptg002629l1	rfNC0523461	15
reference_vs_lean	lnptg002742l1	rfNC0523091	15
reference_vs_lean	lnptg002899l1	rfNC0523151	15
reference_vs_lean	lnptg003033l1	rfNC0523091	15
reference_vs_lean	lnptg003201l1	rfNC0523261	15
reference_vs_lean	lnptg003609l1	rfNC0523381	15
reference_vs_lean	lnptg003638l1	rfNC0523371	15
reference_vs_lean	lnptg003726l1	rfNC0523081	15
reference_vs_lean	lnptg003812l1	rfNC0523251	15
reference_vs_lean	lnptg003849l1	rfNC0523071	15
reference_vs_lean	lnptg003977l1	rfNC0523301	15
reference_vs_lean	lnptg004808l1	rfNC0523101	15
reference_vs_lean	lnptg005154l1	rfNC0523231	15
reference_vs_lean	lnptg005786l1	rfNC0523101	15
reference_vs_lean	lnptg005935l1	rfNC0523171	15
reference_vs_lean	lnptg006199l1	rfNC0523071	15
reference_vs_lean	lnptg006839l1	rfNC0523431	15
reference_vs_lean	lnptg007120l1	rfNC0523111	15
reference_vs_lean	lnptg007384l1	rfNC0523091	15
reference_vs_lean	lnptg012727l1	rfNW0240607361	15
reference_vs_lean	lnptg017063l1	rfNC0523131	15
reference_vs_lean	lnptg000014l1	rfNC0523431	14
reference_vs_lean	lnptg000068l1	rfNC0523261	14
reference_vs_lean	lnptg000070l1	rfNW0240593191	14
reference_vs_lean	lnptg000123l1	rfNC0523101	14
reference_vs_lean	lnptg000150l1	rfNC0523471	14
reference_vs_lean	lnptg000306l1	rfNC0523371	14
reference_vs_lean	lnptg000333l1	rfNC0523091	14
reference_vs_lean	lnptg000345l1	rfNC0523321	14
reference_vs_lean	lnptg000573l1	rfNC0523181	14
reference_vs_lean	lnptg000584l1	rfNC0523261	14
reference_vs_lean	lnptg000646l1	rfNC0523441	14
reference_vs_lean	lnptg000666l1	rfNC0523351	14
reference_vs_lean	lnptg000686l1	rfNC0523391	14
reference_vs_lean	lnptg000733l1	rfNC0523271	14
reference_vs_lean	lnptg000853l1	rfNC0523191	14
reference_vs_lean	lnptg000916l1	rfNC0523391	14
reference_vs_lean	lnptg000961l1	rfNC0523251	14
reference_vs_lean	lnptg000981l1	rfNC0523361	14
reference_vs_lean	lnptg001028l1	rfNC0523131	14
reference_vs_lean	lnptg001039l1	rfNC0523251	14
reference_vs_lean	lnptg001053l1	rfNC0523211	14
reference_vs_lean	lnptg001099l1	rfNC0523221	14
reference_vs_lean	lnptg001111l1	rfNC0523401	14
reference_vs_lean	lnptg001135l1	rfNC0523171	14
reference_vs_lean	lnptg001284l1	rfNC0523401	14
reference_vs_lean	lnptg001288l1	rfNC0523071	14
reference_vs_lean	lnptg001327l1	rfNC0523271	14
reference_vs_lean	lnptg001525l1	rfNC0523111	14
reference_vs_lean	lnptg001545l1	rfNC0523351	14
reference_vs_lean	lnptg001580l1	rfNC0523201	14
reference_vs_lean	lnptg001586l1	rfNC0523401	14
reference_vs_lean	lnptg001610l1	rfNC0523091	14
reference_vs_lean	lnptg001641l1	rfNC0523071	14
reference_vs_lean	lnptg001826l1	rfNC0523421	14
reference_vs_lean	lnptg001864l1	rfNC0523371	14
reference_vs_lean	lnptg001928l1	rfNC0523191	14
reference_vs_lean	lnptg001942l1	rfNC0523361	14
reference_vs_lean	lnptg001979l1	rfNC0523251	14
reference_vs_lean	lnptg002034l1	rfNC0523101	14
reference_vs_lean	lnptg002048l1	rfNC0523151	14
reference_vs_lean	lnptg002073l1	rfNC0523371	14
reference_vs_lean	lnptg002193l1	rfNC0523221	14
reference_vs_lean	lnptg002256l1	rfNC0523431	14
reference_vs_lean	lnptg002484l1	rfNC0523161	14
reference_vs_lean	lnptg002522l1	rfNW0240582071	14
reference_vs_lean	lnptg002549l1	rfNC0523091	14
reference_vs_lean	lnptg002563l1	rfNC0523351	14
reference_vs_lean	lnptg002620l1	rfNC0523131	14
reference_vs_lean	lnptg002674l1	rfNC0523071	14
reference_vs_lean	lnptg002680l1	rfNC0523211	14
reference_vs_lean	lnptg002885l1	rfNC0523081	14
reference_vs_lean	lnptg002910l1	rfNC0523221	14
reference_vs_lean	lnptg003051l1	rfNC0523111	14
reference_vs_lean	lnptg003439l1	rfNC0523221	14
reference_vs_lean	lnptg003584l1	rfNC0523321	14
reference_vs_lean	lnptg003703l1	rfNC0523301	14
reference_vs_lean	lnptg003741l1	rfNC0523281	14
reference_vs_lean	lnptg003770l1	rfNC0523341	14
reference_vs_lean	lnptg003778l1	rfNC0523371	14
reference_vs_lean	lnptg003828l1	rfNC0523101	14
reference_vs_lean	lnptg003951l1	rfNC0523071	14
reference_vs_lean	lnptg003954l1	rfNC0523351	14
reference_vs_lean	lnptg004043l1	rfNC0523321	14
reference_vs_lean	lnptg004351l1	rfNC0523141	14
reference_vs_lean	lnptg004413l1	rfNC0523181	14
reference_vs_lean	lnptg004414l1	rfNC0523111	14
reference_vs_lean	lnptg004603l1	rfNC0523401	14
reference_vs_lean	lnptg004760l1	rfNC0523181	14
reference_vs_lean	lnptg004922l1	rfNC0523141	14
reference_vs_lean	lnptg004950l1	rfNC0523241	14
reference_vs_lean	lnptg006080l1	rfNC0523221	14
reference_vs_lean	lnptg006279l1	rfNW0240616411	14
reference_vs_lean	lnptg006581l1	rfNC0523081	14
reference_vs_lean	lnptg007329l1	rfNC0523271	14
reference_vs_lean	lnptg012727l1	rfNC0523271	14
reference_vs_lean	lnptg012862l1	rfNC0523331	14
reference_vs_lean	lnptg014348l1	rfNC0523161	14
reference_vs_lean	lnptg015061l1	rfNC0523191	14
reference_vs_lean	lnptg000013l1	rfNC0523401	13
reference_vs_lean	lnptg000017l1	rfNC0523161	13
reference_vs_lean	lnptg000051l1	rfNC0523121	13
reference_vs_lean	lnptg000053l1	rfNC0523111	13
reference_vs_lean	lnptg000065l1	rfNC0523131	13
reference_vs_lean	lnptg000073l1	rfNC0523461	13
reference_vs_lean	lnptg000185l1	rfNC0523281	13
reference_vs_lean	lnptg000227l1	rfNC0523161	13
reference_vs_lean	lnptg000240l1	rfNC0523101	13
reference_vs_lean	lnptg000363l1	rfNC0523091	13
reference_vs_lean	lnptg000367l1	rfNC0523101	13
reference_vs_lean	lnptg000380l1	rfNC0523141	13
reference_vs_lean	lnptg000442l1	rfNC0523131	13
reference_vs_lean	lnptg000513l1	rfNC0523311	13
reference_vs_lean	lnptg000518l1	rfNC0523201	13
reference_vs_lean	lnptg000586l1	rfNC0523211	13
reference_vs_lean	lnptg000593l1	rfNC0523261	13
reference_vs_lean	lnptg000620l1	rfNC0523411	13
reference_vs_lean	lnptg000711l1	rfNC0523241	13
reference_vs_lean	lnptg000715l1	rfNC0523201	13
reference_vs_lean	lnptg000721l1	rfNC0523211	13
reference_vs_lean	lnptg000820l1	rfNW0240616411	13
reference_vs_lean	lnptg000827l1	rfNC0523461	13
reference_vs_lean	lnptg000921l1	rfNC0523261	13
reference_vs_lean	lnptg000928l1	rfNC0523111	13
reference_vs_lean	lnptg000975l1	rfNC0523361	13
reference_vs_lean	lnptg001037l1	rfNC0523261	13
reference_vs_lean	lnptg001055l1	rfNC0523411	13
reference_vs_lean	lnptg001114l1	rfNC0523081	13
reference_vs_lean	lnptg001117l1	rfNC0523241	13
reference_vs_lean	lnptg001142l1	rfNC0523181	13
reference_vs_lean	lnptg001167l1	rfNC0523141	13
reference_vs_lean	lnptg001218l1	rfNC0523371	13
reference_vs_lean	lnptg001305l1	rfNC0523151	13
reference_vs_lean	lnptg001333l1	rfNC0523191	13
reference_vs_lean	lnptg001440l1	rfNC0523351	13
reference_vs_lean	lnptg001501l1	rfNC0523311	13
reference_vs_lean	lnptg001562l1	rfNC0523331	13
reference_vs_lean	lnptg001607l1	rfNC0523291	13
reference_vs_lean	lnptg001795l1	rfNC0523071	13
reference_vs_lean	lnptg001802l1	rfNC0523251	13
reference_vs_lean	lnptg001936l1	rfNC0523281	13
reference_vs_lean	lnptg001949l1	rfNC0523431	13
reference_vs_lean	lnptg001978l1	rfNC0523181	13
reference_vs_lean	lnptg002032l1	rfNC0523141	13
reference_vs_lean	lnptg002258l1	rfNC0523401	13
reference_vs_lean	lnptg002273l1	rfNC0523341	13
reference_vs_lean	lnptg002336l1	rfNC0523151	13
reference_vs_lean	lnptg002491l1	rfNC0523251	13
reference_vs_lean	lnptg002557l1	rfNC0523111	13
reference_vs_lean	lnptg002573l1	rfNC0523221	13
reference_vs_lean	lnptg002581l1	rfNC0523391	13
reference_vs_lean	lnptg002709l1	rfNC0523141	13
reference_vs_lean	lnptg002832l1	rfNC0523081	13
reference_vs_lean	lnptg002868l1	rfNC0523321	13
reference_vs_lean	lnptg002937l1	rfNC0523131	13
reference_vs_lean	lnptg003200l1	rfNC0523421	13
reference_vs_lean	lnptg003308l1	rfNC0523181	13
reference_vs_lean	lnptg003336l1	rfNC0523111	13
reference_vs_lean	lnptg003466l1	rfNC0523131	13
reference_vs_lean	lnptg003499l1	rfNC0523351	13
reference_vs_lean	lnptg003656l1	rfNC0523201	13
reference_vs_lean	lnptg003661l1	rfNC0523081	13
reference_vs_lean	lnptg003992l1	rfNC0523311	13
reference_vs_lean	lnptg004051l1	rfNC0523171	13
reference_vs_lean	lnptg004056l1	rfNC0523101	13
reference_vs_lean	lnptg004363l1	rfNC0523481	13
reference_vs_lean	lnptg004372l1	rfNC0523441	13
reference_vs_lean	lnptg004536l1	rfNC0523071	13
reference_vs_lean	lnptg004685l1	rfNC0523271	13
reference_vs_lean	lnptg004929l1	rfNC0523241	13
reference_vs_lean	lnptg005500l1	rfNC0523331	13
reference_vs_lean	lnptg005535l1	rfNC0523081	13
reference_vs_lean	lnptg005781l1	rfNC0523321	13
reference_vs_lean	lnptg005862l1	rfNC0523171	13
reference_vs_lean	lnptg006362l1	rfNC0523091	13
reference_vs_lean	lnptg006516l1	rfNW0240594661	13
reference_vs_lean	lnptg008209l1	rfNC0523111	13
reference_vs_lean	lnptg013830l1	rfNC0523451	13
reference_vs_lean	lnptg015651l1	rfNW0240579951	13
reference_vs_lean	lnptg000003l1	rfNC0523351	12
reference_vs_lean	lnptg000111l1	rfNC0523091	12
reference_vs_lean	lnptg000116l1	rfNC0523421	12
reference_vs_lean	lnptg000199l1	rfNC0523351	12
reference_vs_lean	lnptg000231l1	rfNC0523111	12
reference_vs_lean	lnptg000299l1	rfNC0523161	12
reference_vs_lean	lnptg000343l1	rfNC0523421	12
reference_vs_lean	lnptg000355l1	rfNC0523421	12
reference_vs_lean	lnptg000393l1	rfNC0523071	12
reference_vs_lean	lnptg000467l1	rfNC0523361	12
reference_vs_lean	lnptg000524l1	rfNC0523151	12
reference_vs_lean	lnptg000595l1	rfNC0523431	12
reference_vs_lean	lnptg000657l1	rfNC0523421	12
reference_vs_lean	lnptg000761l1	rfNC0523201	12
reference_vs_lean	lnptg000804l1	rfNC0523371	12
reference_vs_lean	lnptg000946l1	rfNC0523401	12
reference_vs_lean	lnptg000978l1	rfNC0523101	12
reference_vs_lean	lnptg001044l1	rfNC0523191	12
reference_vs_lean	lnptg001162l1	rfNC0523381	12
reference_vs_lean	lnptg001168l1	rfNC0523321	12
reference_vs_lean	lnptg001230l1	rfNC0523341	12
reference_vs_lean	lnptg001263l1	rfNW0240616191	12
reference_vs_lean	lnptg001346l1	rfNC0523201	12
reference_vs_lean	lnptg001457l1	rfNC0523421	12
reference_vs_lean	lnptg001575l1	rfNC0523091	12
reference_vs_lean	lnptg001579l1	rfNC0523321	12
reference_vs_lean	lnptg001620l1	rfNC0523111	12
reference_vs_lean	lnptg001703l1	rfNC0523291	12
reference_vs_lean	lnptg001707l1	rfNC0523091	12
reference_vs_lean	lnptg001781l1	rfNC0523331	12
reference_vs_lean	lnptg001803l1	rfNC0523401	12
reference_vs_lean	lnptg001870l1	rfNC0523371	12
reference_vs_lean	lnptg001882l1	rfNW0240592101	12
reference_vs_lean	lnptg001977l1	rfNC0523091	12
reference_vs_lean	lnptg002066l1	rfNC0523191	12
reference_vs_lean	lnptg002069l1	rfNC0523461	12
reference_vs_lean	lnptg002165l1	rfNC0523171	12
reference_vs_lean	lnptg002355l1	rfNC0523371	12
reference_vs_lean	lnptg002376l1	rfNC0523141	12
reference_vs_lean	lnptg002390l1	rfNC0523101	12
reference_vs_lean	lnptg002455l1	rfNC0523461	12
reference_vs_lean	lnptg002609l1	rfNC0523221	12
reference_vs_lean	lnptg002656l1	rfNC0523121	12
reference_vs_lean	lnptg002792l1	rfNC0523251	12
reference_vs_lean	lnptg002801l1	rfNC0523261	12
reference_vs_lean	lnptg002848l1	rfNC0523241	12
reference_vs_lean	lnptg002881l1	rfNC0523121	12
reference_vs_lean	lnptg002925l1	rfNC0523161	12
reference_vs_lean	lnptg003027l1	rfNC0523251	12
reference_vs_lean	lnptg003178l1	rfNC0523461	12
reference_vs_lean	lnptg003365l1	rfNC0523211	12
reference_vs_lean	lnptg003377l1	rfNW0240592851	12
reference_vs_lean	lnptg003806l1	rfNC0523221	12
reference_vs_lean	lnptg003810l1	rfNC0523371	12
reference_vs_lean	lnptg003825l1	rfNC0523271	12
reference_vs_lean	lnptg003826l1	rfNC0523331	12
reference_vs_lean	lnptg003848l1	rfNC0523331	12
reference_vs_lean	lnptg003870l1	rfNC0523151	12
reference_vs_lean	lnptg003893l1	rfNC0523361	12
reference_vs_lean	lnptg003972l1	rfNC0523141	12
reference_vs_lean	lnptg004073l1	rfNC0523271	12
reference_vs_lean	lnptg004230l1	rfNC0523311	12
reference_vs_lean	lnptg004255l1	rfNC0523351	12
reference_vs_lean	lnptg004435l1	rfNC0523161	12
reference_vs_lean	lnptg004443l1	rfNC0523071	12
reference_vs_lean	lnptg004481l1	rfNC0523431	12
reference_vs_lean	lnptg004639l1	rfNC0523071	12
reference_vs_lean	lnptg004722l1	rfNC0523381	12
reference_vs_lean	lnptg004994l1	rfNC0523201	12
reference_vs_lean	lnptg005074l1	rfNC0523241	12
reference_vs_lean	lnptg005259l1	rfNC0523161	12
reference_vs_lean	lnptg005525l1	rfNC0523101	12
reference_vs_lean	lnptg005701l1	rfNC0523131	12
reference_vs_lean	lnptg006032l1	rfNC0523221	12
reference_vs_lean	lnptg006184l1	rfNC0523481	12
reference_vs_lean	lnptg007115l1	rfNC0523101	12
reference_vs_lean	lnptg007413l1	rfNC0523101	12
reference_vs_lean	lnptg012325l1	rfNC0523291	12
reference_vs_lean	lnptg012467l1	rfNC0523131	12
reference_vs_lean	lnptg013194l1	rfNC0523181	12
reference_vs_lean	lnptg014387l1	rfNC0523261	12
reference_vs_lean	lnptg026102l1	rfNC0523131	12
reference_vs_lean	lnptg000031l1	rfNC0523081	11
reference_vs_lean	lnptg000056l1	rfNC0523101	11
reference_vs_lean	lnptg000100l1	rfNC0523381	11
reference_vs_lean	lnptg000166l1	rfNC0523141	11
reference_vs_lean	lnptg000216l1	rfNC0523251	11
reference_vs_lean	lnptg000263l1	rfNC0523091	11
reference_vs_lean	lnptg000320l1	rfNC0523361	11
reference_vs_lean	lnptg000375l1	rfNC0523191	11
reference_vs_lean	lnptg000426l1	rfNC0523111	11
reference_vs_lean	lnptg000448l1	rfNC0523251	11
reference_vs_lean	lnptg000498l1	rfNC0523451	11
reference_vs_lean	lnptg000521l1	rfNC0523161	11
reference_vs_lean	lnptg000583l1	rfNC0523111	11
reference_vs_lean	lnptg000641l1	rfNC0523201	11
reference_vs_lean	lnptg000734l1	rfNC0523111	11
reference_vs_lean	lnptg000742l1	rfNC0523161	11
reference_vs_lean	lnptg000748l1	rfNC0523321	11
reference_vs_lean	lnptg000892l1	rfNC0523231	11
reference_vs_lean	lnptg000896l1	rfNC0523411	11
reference_vs_lean	lnptg000918l1	rfNC0523161	11
reference_vs_lean	lnptg000925l1	rfNC0523481	11
reference_vs_lean	lnptg000947l1	rfNC0523181	11
reference_vs_lean	lnptg001109l1	rfNC0523121	11
reference_vs_lean	lnptg001126l1	rfNC0523201	11
reference_vs_lean	lnptg001189l1	rfNC0523071	11
reference_vs_lean	lnptg001216l1	rfNC0523131	11
reference_vs_lean	lnptg001222l1	rfNC0523321	11
reference_vs_lean	lnptg001254l1	rfNC0523311	11
reference_vs_lean	lnptg001332l1	rfNC0523211	11
reference_vs_lean	lnptg001332l1	rfNC0523231	11
reference_vs_lean	lnptg001374l1	rfNC0523091	11
reference_vs_lean	lnptg001428l1	rfNC0523121	11
reference_vs_lean	lnptg001432l1	rfNC0523071	11
reference_vs_lean	lnptg001444l1	rfNC0523111	11
reference_vs_lean	lnptg001448l1	rfNC0523411	11
reference_vs_lean	lnptg001666l1	rfNC0523141	11
reference_vs_lean	lnptg001784l1	rfNC0523281	11
reference_vs_lean	lnptg001808l1	rfNC0523141	11
reference_vs_lean	lnptg001856l1	rfNC0523071	11
reference_vs_lean	lnptg001898l1	rfNC0523301	11
reference_vs_lean	lnptg001921l1	rfNC0523221	11
reference_vs_lean	lnptg001983l1	rfNC0523371	11
reference_vs_lean	lnptg002120l1	rfNC0523071	11
reference_vs_lean	lnptg002188l1	rfNC0523141	11
reference_vs_lean	lnptg002197l1	rfNC0523361	11
reference_vs_lean	lnptg002226l1	rfNC0523371	11
reference_vs_lean	lnptg002394l1	rfNC0523151	11
reference_vs_lean	lnptg002544l1	rfNC0523081	11
reference_vs_lean	lnptg002964l1	rfNC0523341	11
reference_vs_lean	lnptg002998l1	rfNC0523331	11
reference_vs_lean	lnptg003003l1	rfNC0523141	11
reference_vs_lean	lnptg003047l1	rfNC0523191	11
reference_vs_lean	lnptg003089l1	rfNC0523141	11
reference_vs_lean	lnptg003452l1	rfNC0523331	11
reference_vs_lean	lnptg003453l1	rfNC0523231	11
reference_vs_lean	lnptg003459l1	rfNC0523101	11
reference_vs_lean	lnptg003465l1	rfNC0523081	11
reference_vs_lean	lnptg003478l1	rfNC0523331	11
reference_vs_lean	lnptg003536l1	rfNC0523071	11
reference_vs_lean	lnptg003605l1	rfNC0523381	11
reference_vs_lean	lnptg003657l1	rfNW0240613631	11
reference_vs_lean	lnptg003758l1	rfNC0523141	11
reference_vs_lean	lnptg003897l1	rfNC0523241	11
