gene_id	symbol	product	biotype	lean_del_n	lean_del_bp	sisco_del_n	sisco_del_bp	lean_ins_n	sisco_ins_n	ecotype_skew_note
gene-LOC120033655	LOC120033655	gastrula zinc finger protein XlCGF17.1-like	protein_coding	0	0	0	0	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033656	LOC120033656	gastrula zinc finger protein XlCGF17.1-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033657	LOC120033657	oocyte zinc finger protein XlCOF22-like	protein_coding	0	0	1	86	0	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033658	LOC120033658		pseudogene	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033661	LOC120033661	uncharacterized LOC120033661	lncRNA	1	121	0	0	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033663	LOC120033663	uncharacterized LOC120033663	lncRNA	0	0	1	594	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033664	LOC120033664	uncharacterized LOC120033664	lncRNA	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033665	LOC120033665	uncharacterized LOC120033665	lncRNA	0	0	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033668	LOC120033668	PI-PLC X domain-containing protein 1-like	protein_coding	1	108	3	471	3	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033669	LOC120033669	uncharacterized LOC120033669	lncRNA	0	0	0	0	1	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033672	LOC120033672	interleukin-10 receptor subunit beta-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033675	LOC120033675	zinc finger protein 658B-like	protein_coding	2	252	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033676	LOC120033676	zinc finger protein 84-like	protein_coding	2	290	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033678	LOC120033678	gastrula zinc finger protein XlCGF17.1-like	protein_coding	0	0	2	570	6	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033679	LOC120033679	gastrula zinc finger protein XlCGF17.1-like	protein_coding	1	720	1	336	2	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033680	LOC120033680	uncharacterized LOC120033680	lncRNA	2	132	4	344	11	8	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033681	LOC120033681	cyclin-dependent kinase-like 5	protein_coding	3	569	2	123	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033686	LOC120033686	sodium/potassium-transporting ATPase subunit beta-233-like	protein_coding	1	2210	1	1295	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033690	LOC120033690	ATP-binding cassette sub-family B member 6, mitochondrial-like	protein_coding	0	0	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033691	LOC120033691		pseudogene	7	1421	3	323	7	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033698	LOC120033698	secreted phosphoprotein 24-like	transcribed_pseudogene	0	0	1	589	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033699	LOC120033699	growth hormone secretagogue receptor type 1-like	protein_coding	0	0	1	1688	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033705	LOC120033705	tetraspanin-7-like	protein_coding	4	1084	3	391	10	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033716	LOC120033716	transmembrane protein 198-B-like	protein_coding	2	2735	1	53	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033718	LOC120033718	chloride intracellular channel protein 4-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033719	LOC120033719	small integral membrane protein 11A-like	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033722	LOC120033722	rab11 family-interacting protein 5-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033724	LOC120033724	dehydrogenase/reductase SDR family member on chromosome X-like	protein_coding	0	0	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033729	LOC120033729	uncharacterized LOC120033729	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033731	LOC120033731	zinc finger protein Dzip1-like	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033734	LOC120033734	lymphocyte antigen 75-like	protein_coding	2	847	7	923	15	8	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033738	LOC120033738	interferon-induced protein 44-like	protein_coding	0	0	0	0	4	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033740	LOC120033740	uncharacterized LOC120033740	protein_coding	2	1318	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033742	LOC120033742	uncharacterized LOC120033742	lncRNA	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033745	LOC120033745	follistatin-related protein 1-like	protein_coding	0	0	1	56	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033750	LOC120033750	cytoplasmic protein NCK2-like	protein_coding	8	1365	3	1343	3	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033754	LOC120033754	aryl hydrocarbon receptor-like	protein_coding	2	1445	5	540	76	61	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033755	LOC120033755	probable ubiquitin carboxyl-terminal hydrolase FAF-X	protein_coding	0	0	1	88	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033760	LOC120033760	uncharacterized LOC120033760	lncRNA	0	0	0	0	3	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033764	LOC120033764	partitioning defective 3 homolog B-like	protein_coding	2	129	2	112	13	8	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033765	LOC120033765	X-linked retinitis pigmentosa GTPase regulator-like	protein_coding	3	355	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033766	LOC120033766	cytochrome b-245 heavy chain-like	protein_coding	1	66	2	161	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033773	LOC120033773	zinc finger protein 239-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033777	LOC120033777	serine/threonine-protein kinase 11-interacting protein-like	protein_coding	1	55	7	467	0	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033780	LOC120033780	U2 spliceosomal RNA	snRNA	1	19	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033781	LOC120033781		pseudogene	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033782	LOC120033782	ferritin, middle subunit-like	protein_coding	0	0	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033783	LOC120033783		pseudogene	0	0	0	0	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033798	LOC120033798	ferritin, middle subunit-like	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033881	LOC120033881	neurogenic locus notch homolog protein 2-like	protein_coding	0	0	1	69	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033883	LOC120033883	retinol dehydrogenase 8-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033888	LOC120033888	hsc70-interacting protein-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033889	LOC120033889	KAT8 regulatory NSL complex subunit 1-like	protein_coding	1	300	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033891	LOC120033891	uncharacterized LOC120033891	lncRNA	0	0	1	63	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033894	LOC120033894	circumsporozoite protein-like	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033896	LOC120033896	small G protein signaling modulator 3-like	protein_coding	1	164	2	1351	9	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033898	LOC120033898	GTP-binding protein 1-like	protein_coding	1	770	2	110	2	9	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033906	LOC120033906	adhesion G protein-coupled receptor E2-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033907	LOC120033907	axin-1-like	protein_coding	0	0	2	228	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033908	LOC120033908	protein tweety homolog 3-like	protein_coding	6	2257	10	2121	19	22	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033909	LOC120033909	carbonic anhydrase-related protein 10-like	protein_coding	1	2135	0	0	3	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033910	LOC120033910	netrin-1-like	protein_coding	4	457	2	559	2	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033912	LOC120033912	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3-A-like	protein_coding	0	0	1	603	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033914	LOC120033914	cAMP-dependent protein kinase catalytic subunit alpha	protein_coding	0	0	0	0	2	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033923	LOC120033923	casein kinase I-like	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033924	LOC120033924	protein phosphatase 1 regulatory subunit 1B-like	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033925	LOC120033925	immunoglobulin gamma-1 heavy chain-like	protein_coding	1	669	0	0	1	11	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033926	LOC120033926	inactive phospholipase C-like protein 2	protein_coding	5	973	6	608	11	13	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033928	LOC120033928	ATP-citrate synthase	protein_coding	1	66	0	0	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033929	LOC120033929	growth factor receptor-bound protein 2	protein_coding	0	0	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033933	LOC120033933	LIM homeobox transcription factor 1-alpha-like	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033934	LOC120033934	GEM-interacting protein-like	protein_coding	3	1159	5	1234	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033935	LOC120033935	HIV Tat-specific factor 1 homolog	protein_coding	3	459	0	0	4	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033936	LOC120033936	extracellular serine/threonine protein kinase FAM20C-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033938	LOC120033938	neuronal pentraxin receptor-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033943	LOC120033943	corticotropin-releasing factor receptor 1-like	protein_coding	1	2559	3	3706	3	8	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033944	LOC120033944	microtubule-associated protein tau-like	protein_coding	0	0	0	0	1	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033948	LOC120033948	serine/threonine-protein kinase BRSK1-like	protein_coding	0	0	1	54	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033949	LOC120033949	beta-1,4 N-acetylgalactosaminyltransferase 2-like	protein_coding	0	0	2	427	2	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033953	LOC120033953		pseudogene	1	61	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033957	LOC120033957	G protein-activated inward rectifier potassium channel 1-like	protein_coding	0	0	0	0	1	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033959	LOC120033959	supervillin-like	protein_coding	1	84	3	1466	6	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033961	LOC120033961	rho GTPase-activating protein 23-like	protein_coding	0	0	1	318	5	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033963	LOC120033963	SH3 and cysteine-rich domain-containing protein 2-like	protein_coding	1	60	1	157	0	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033965	LOC120033965	potassium voltage-gated channel subfamily H member 4-like	protein_coding	0	0	1	104	0	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033966	LOC120033966	caveolae-associated protein 1-like	protein_coding	2	186	1	256	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033967	LOC120033967	MAPK-interacting and spindle-stabilizing protein-like	protein_coding	1	143	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033971	LOC120033971	contactin-associated protein 1-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033972	LOC120033972	SRC kinase signaling inhibitor 1-like	protein_coding	7	1248	2	156	9	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033976	LOC120033976	heat shock 70 kDa protein	protein_coding	1	74	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033982	LOC120033982	homeobox protein unc-4 homolog	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033985	LOC120033985	myoferlin-like	protein_coding	2	354	1	5171	3	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033986	LOC120033986	heat shock 70 kDa protein	protein_coding	1	778	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033988	LOC120033988	hemoglobin subunit beta-like	protein_coding	1	60	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033989	LOC120033989	hemoglobin embryonic subunit alpha-like	protein_coding	0	0	0	0	1	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033990	LOC120033990	cAMP-specific 3',5'-cyclic phosphodiesterase 4A-like	protein_coding	2	193	2	478	4	7	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033992	LOC120033992	noelin-2-like	protein_coding	5	1350	7	1044	1	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033993	LOC120033993	collagen alpha-1(XI) chain-like	protein_coding	3	925	2	114	1	16	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033994	LOC120033994	protein TANC2-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120033999	LOC120033999	inward rectifier potassium channel 4-like	protein_coding	0	0	2	211	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034004	LOC120034004	envoplakin-like	protein_coding	0	0	0	0	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034005	LOC120034005	nucleosome-remodeling factor subunit BPTF-like	protein_coding	0	0	1	80	1	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034010	LOC120034010		V_segment	1	126	0	0	3	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034013	LOC120034013		C_region	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034014	LOC120034014	growth arrest-specific protein 7-like	protein_coding	3	324	2	1364	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034015	LOC120034015	germ cell-specific gene 1-like protein	protein_coding	1	96	2	653	3	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034020	LOC120034020		pseudogene	3	273	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034022	LOC120034022	excitatory amino acid transporter 2-like	protein_coding	1	98	2	393	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034026	LOC120034026	synaptotagmin-C-like	protein_coding	0	0	4	638	2	9	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034031	LOC120034031	voltage-dependent P/Q-type calcium channel subunit alpha-1A-like	protein_coding	1	61	0	0	4	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034032	LOC120034032	immunoglobulin gamma-1 heavy chain-like	protein_coding	1	310	4	2929	8	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034033	LOC120034033	protein shisa-9B-like	protein_coding	2	811	4	473	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034034	LOC120034034	cytohesin-3	protein_coding	2	250	11	1518	2	17	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034035	LOC120034035	voltage-dependent calcium channel gamma-5 subunit	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034036	LOC120034036	protein shisa-6-like	protein_coding	1	50	2	287	0	10	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034054	LOC120034054	transmembrane protein 104-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034057	LOC120034057	heat shock 70 kDa protein-like	protein_coding	0	0	2	133	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034058	LOC120034058	signal transducer and activator of transcription 5B-like	protein_coding	5	370	4	384	63	108	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034059	LOC120034059	myocardin-related transcription factor A-like	protein_coding	1	72	2	254	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034060	LOC120034060	procollagen galactosyltransferase 1-like	protein_coding	1	175	9	3327	4	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034061	LOC120034061	suppressor of cytokine signaling 7-like	protein_coding	0	0	1	52	11	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034070	LOC120034070	cell division cycle protein 27 homolog	protein_coding	1	265	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034074	LOC120034074	nucleolar transcription factor 1-like	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034082	LOC120034082	sodium channel protein type 4 subunit alpha B-like	protein_coding	0	0	0	0	2	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034085	LOC120034085	histone deacetylase 5-like	protein_coding	0	0	1	85	2	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034101	LOC120034101	neurabin-2-like	protein_coding	0	0	4	1374	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034102	LOC120034102	caskin-2-like	protein_coding	0	0	2	324	0	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034106	LOC120034106		C_region	1	347	3	11453	3	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034108	LOC120034108		pseudogene	0	0	4	2344	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034122	LOC120034122	ATP-dependent Clp protease proteolytic subunit, mitochondrial-like	protein_coding	1	204	0	0	5	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034124	LOC120034124	all-trans-retinol 13,14-reductase-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034132	LOC120034132		C_region	2	329	8	4209	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034137	LOC120034137	ATP-dependent Clp protease proteolytic subunit, mitochondrial-like	protein_coding	0	0	1	57	9	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034138	LOC120034138	thyroid hormone receptor alpha	protein_coding	0	0	2	198	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034142	LOC120034142	C-type mannose receptor 2-like	protein_coding	0	0	3	368	1	12	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034150	LOC120034150	E3 ubiquitin-protein ligase SMURF2	protein_coding	0	0	2	110	1	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034151	LOC120034151	acyl-coenzyme A thioesterase 1-like	protein_coding	0	0	1	57	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034167	LOC120034167	homologous recombination OB-fold protein-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034168	LOC120034168	syntaxin-binding protein 2-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034171	LOC120034171	sphingosine 1-phosphate receptor 2-like	protein_coding	1	108	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034183	LOC120034183	myeloid-associated differentiation marker-like	protein_coding	0	0	0	0	0	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034186	LOC120034186	uncharacterized LOC120034186	lncRNA	1	54	11	1371	0	13	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034187	LOC120034187	cell death-inducing p53-target protein 1-like	protein_coding	1	78	3	1338	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034197	LOC120034197	long-chain fatty acid transport protein 1-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034200	LOC120034200	nucleobindin-2-like	protein_coding	1	150	8	870	1	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034203	LOC120034203		C_region	8	1895	1	531	4	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034204	LOC120034204	immunoglobulin gamma-1 heavy chain-like	protein_coding	40	16834	27	32375	39	34	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034209	LOC120034209	cdc42 effector protein 1-like	protein_coding	1	79	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034230	LOC120034230	uncharacterized LOC120034230	protein_coding	0	0	1	1572	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034234	LOC120034234	bromodomain-containing protein 4-like	protein_coding	2	5640	0	0	2	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034237	LOC120034237	junction plakoglobin-like	protein_coding	0	0	0	0	3	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034238	LOC120034238	speckle-type POZ protein-like	protein_coding	8	1715	16	3585	17	19	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034240	LOC120034240	zinc finger CCCH domain-containing protein 7A-like	protein_coding	1	86	1	169	0	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034245	LOC120034245	ras-associating and dilute domain-containing protein-like	protein_coding	1	125	2	292	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034251	LOC120034251	bromodomain-containing protein 4-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034257	LOC120034257	hemoglobin subunit beta-1-like	protein_coding	0	0	1	335	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034265	LOC120034265	UBA-like domain-containing protein 2	protein_coding	0	0	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034267	LOC120034267		V_segment	0	0	1	532	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034269	LOC120034269		pseudogene	1	144	2	122	8	14	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034271	LOC120034271	voltage-dependent P/Q-type calcium channel subunit alpha-1A-like	protein_coding	20	7578	13	8653	52	58	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034277	LOC120034277	zinc-binding protein A33-like	protein_coding	1	64	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034283	LOC120034283	somatostatin receptor type 5-like	protein_coding	3	546	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034284	LOC120034284	potassium channel subfamily T member 2-like	protein_coding	2	341	3	329	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034288	LOC120034288	tumor necrosis factor receptor superfamily member 16-like	protein_coding	2	192	2	224	0	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034293	LOC120034293	uncharacterized LOC120034293	protein_coding	0	0	1	90	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034295	LOC120034295	solute carrier family 23 member 2-like	protein_coding	0	0	1	104	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034296	LOC120034296	retinoic acid receptor alpha-like	protein_coding	9	1746	8	634	3	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034297	LOC120034297	cytohesin-3-like	protein_coding	1	90	2	564	1	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034298	LOC120034298	potassium voltage-gated channel subfamily H member 6-like	protein_coding	2	135	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034303	LOC120034303	nuclear body protein SP140-like protein	protein_coding	0	0	0	0	2	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034316	LOC120034316	GATOR complex protein NPRL3-like	protein_coding	0	0	0	0	2	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034321	LOC120034321	pre-B-cell leukemia transcription factor 1-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034323	LOC120034323	retinol dehydrogenase 8-like	protein_coding	1	84	1	58	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034331	LOC120034331	serine/threonine-protein kinase WNK4-like	protein_coding	2	390	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034334	LOC120034334	WAS/WASL-interacting protein family member 2-like	protein_coding	0	0	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034335	LOC120034335	adenylosuccinate lyase-like	protein_coding	1	64	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034336	LOC120034336	integrin beta-3-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034339	LOC120034339	nucleus accumbens-associated protein 1-like	protein_coding	3	205	14	3460	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120034343	LOC120034343	procollagen galactosyltransferase 1-like	protein_coding	1	52	2	352	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
